player_index,player_id
1,12
2,33
3,38
4,99
5,118
6,145
7,151
8,253
9,254
10,267
11,312
12,1720
13,1751
14,3266
15,3267
16,3269
17,3270
18,3274
19,3275
20,3276
21,3277
22,3280
23,3281
24,3282
25,3284
26,3285
27,3286
28,3287
29,3290
30,3291
31,3293
32,3294
33,3296
34,3297
35,3299
36,3300
37,3301
38,3304
39,3305
40,3306
41,3309
42,3310
43,3313
44,3317
45,3321
46,3322
47,3324
48,3325
49,3326
50,3327
51,3330
52,3334
53,3335
54,3336
55,3337
56,3338
57,3339
58,3340
59,3341
60,3344
61,3346
62,3347
63,3348
64,3349
65,3351
66,3352
67,3353
68,3355
69,3357
70,3358
71,3359
72,3360
73,3361
74,3366
75,3368
76,3372
77,3374
78,3375
79,3378
80,3380
81,3381
82,3384
83,3394
84,3397
85,3398
86,3399
87,3400
88,3403
89,3404
90,3407
91,3408
92,3409
93,3412
94,3413
95,3414
96,3418
97,3419
98,3420
99,3421
100,3423
101,3424
102,3425
103,3426
104,3428
105,3429
106,3431
107,3433
108,3434
109,3436
110,3440
111,3441
112,3442
113,3443
114,3446
115,3447
116,3448
117,3450
118,3451
119,3455
120,3458
121,3459
122,3460
123,3464
124,3465
125,3466
126,3468
127,3470
128,3474
129,3476
130,3477
131,3479
132,3483
133,3484
134,3486
135,3488
136,3493
137,3496
138,3501
139,3503
140,3505
141,3510
142,3511
143,3519
144,3520
145,3523
146,3526
147,3527
148,3529
149,3534
150,3536
151,3537
152,3538
153,3539
154,3541
155,3542
156,3548
157,3553
158,3554
159,3556
160,3557
161,3560
162,3561
163,3562
164,3563
165,3565
166,3566
167,3567
168,3568
169,3571
170,3572
171,3576
172,3577
173,3581
174,3582
175,3585
176,3588
177,3594
178,3595
179,3598
180,3602
181,3603
182,3604
183,3605
184,3608
185,3629
186,3642
187,3644
188,3645
189,3650
190,3651
191,3653
192,3655
193,3656
194,3657
195,3662
196,3665
197,3667
198,3670
199,3671
200,3672
201,3674
202,3675
203,3676
204,3677
205,3678
206,3680
207,3681
208,3682
209,3685
210,3687
211,3688
212,3691
213,3692
214,3695
215,3704
216,3705
217,3708
218,3714
219,3719
220,3735
221,3738
222,3746
223,3750
224,3779
225,3780
226,3781
227,3783
228,3784
229,3785
230,3787
231,3788
232,3790
233,3791
234,3795
235,3797
236,3798
237,3801
238,3802
239,3803
240,3804
241,3806
242,3808
243,3812
244,3814
245,3816
246,3819
247,3821
248,3822
249,3823
250,3826
251,3827
252,3828
253,3829
254,3835
255,3837
256,3840
257,3843
258,3849
259,3856
260,3866
261,3874
262,3875
263,3885
264,3908
265,3915
266,3916
267,3918
268,3919
269,3920
270,3922
271,3928
272,3933
273,3934
274,3937
275,3943
276,3963
277,3969
278,3970
279,3972
280,3974
281,3975
282,3977
283,3979
284,3984
285,3987
286,3988
287,3993
288,3994
289,4000
290,4003
291,4007
292,4009
293,4012
294,4013
295,4014
296,4015
297,4017
298,4021
299,4034
300,4048
301,4056
302,4065
303,4078
304,4084
305,4086
306,4093
307,4094
308,4102
309,4110
310,4113
311,4116
312,4127
313,4131
314,4180
315,4232
316,4234
317,4238
318,4239
319,4242
320,4243
321,4248
322,4249
323,4252
324,4256
325,4257
326,4260
327,4268
328,4272
329,4278
330,4285
331,4288
332,4303
333,4320
334,4325
335,4326
336,4329
337,4332
338,4336
339,4337
340,4338
341,4342
342,4344
343,4348
344,4350
345,4355
346,4358
347,4360
348,4361
349,4362
350,4363
351,4365
352,4366
353,4371
354,4375
355,4379
356,4422
357,4424
358,4425
359,4440
360,4452
361,4476
362,4487
363,4488
364,4492
365,4498
366,4501
367,4507
368,4509
369,4511
370,4513
371,4515
372,4580
373,4590
374,4592
375,4593
376,4597
377,4602
378,4683
379,4720
380,4752
381,4757
382,4778
383,4780
384,4785
385,4786
386,4789
387,4790
388,4791
389,4804
390,4805
391,4821
392,4879
393,4880
394,4889
395,4892
396,4902
397,4908
398,4911
399,4918
400,4923
401,4936
402,4969
403,4997
404,5055
405,5112
406,5121
407,5138
408,5147
409,5167
410,5171
411,5195
412,5210
413,5268
414,5272
415,5280
416,5281
417,5284
418,5286
419,5289
420,5290
421,5291
422,5297
423,5318
424,5327
425,5383
426,5400
427,5406
428,5472
429,5481
430,5538
431,5542
432,5586
433,5653
434,5677
435,5725
436,5791
437,5875
438,5901
439,5902
440,5907
441,5910
442,5911
443,6035
444,6106
445,6165
446,6210
447,6281
448,6286
449,6287
450,6292
451,6317
452,6325
453,6338
454,6362
455,6363
456,6365
457,6369
458,6370
459,6386
460,6456
461,6513
462,6525
463,6528
464,6531
465,6572
466,6579
467,6684
468,6914
469,6925
470,6950
471,7069
472,7072
473,7302
474,7458
475,7585
476,7593
477,7612
478,7623
479,7624
480,7629
481,7693
482,7818
483,7848
484,7849
485,7857
486,7860
487,7864
488,7899
489,7908
490,7926
491,7941
492,7949
493,7972
494,8032
495,8200
496,8213
497,8278
498,8287
499,8297
500,8303
501,8309
502,8311
503,8317
504,8320
505,8323
506,8609
507,8945
508,8992
509,11063
510,14687
511,14723
512,14724
513,14740
514,14748
515,14757
516,14763
517,14808
518,14817
519,14836
520,14852
521,14866
522,14893
523,14922
524,14943
525,15008
526,15101
527,15111
528,15190
529,15214
530,15455
531,15817
532,16814
533,20393
534,20401
535,20402
536,20406
537,20423
538,20433
539,20436
540,20441
541,20443
542,20450
543,20460
544,20475
545,20536
546,20547
547,20612
548,20618
549,20623
550,20636
551,20643
552,20672
553,20685
554,20722
555,20728
556,20733
557,20764
558,20766
559,20803
560,20808
561,20823
562,20884
563,20922
564,20932
565,20936
566,20948
567,21077
568,21174
569,21550
570,21793
571,21842
572,21894
573,22202
574,22386
575,22566
576,22578
577,25391
578,25392
579,25397
580,25405
581,25407
582,25418
583,25421
584,25440
585,25441
586,25445
587,25452
588,25461
589,25470
590,25472
591,25477
592,25537
593,25553
594,25568
595,25577
596,25586
597,25590
598,25623
599,25638
600,25701
601,25707
602,25784
603,25785
604,25795
605,25798
606,25809
607,25816
608,25831
609,25867
610,25888
611,25942
612,26016
613,26032
614,26038
615,26065
616,26084
617,26167
618,26195
619,26307
620,26332
621,26384
622,26515
623,26518
624,26638
625,26652
626,26792
627,28115
628,28232
629,28292
630,28529
631,28922
632,29642
633,32577
634,32601
635,32652
636,32793
637,32968
638,32978
639,33219
640,37762
641,37814
642,37831
643,37836
644,38093
645,38094
646,38436
647,40542
648,40550
649,40574
650,40614
651,40756
652,40770
653,40800
654,40810
655,41029
656,41124
657,41339
658,41363
659,42183
660,43051
661,48354
662,50102
663,50213
664,51004
665,51217
666,55095
667,55224
668,55968
669,55990
670,56009
671,56025
672,56408
673,57347
674,61390
675,69403
676,69404
677,69409
678,69513
679,69610
680,70083
681,70085
682,70086
683,70094
684,70096
685,70112
686,70120
687,70121
688,70123
689,70125
690,70129
691,70136
692,70139
693,70140
694,70159
695,70164
696,70235
697,70273
698,70315
699,70327
700,70391
701,70451
702,70507
703,70767
704,70956
705,70975
706,71004
707,71057
708,71911
709,71997
710,82468
711,83876
712,85113
713,86183
714,86198
715,86200
716,86212
717,86220
718,86234
719,86239
720,86298
721,86307
722,86319
723,86325
724,86328
725,86338
726,86507
727,86517
728,86548
729,86623
730,86716
731,86737
732,86796
733,86800
734,86810
735,86828
736,86882
737,88642
738,88969
739,89073
740,89133
741,89550
742,89700
743,89712
744,90774
745,91064
746,91268
747,91282
748,91519
749,91702
750,92874
751,92886
752,92893
753,92910
754,93000
755,93003
756,93033
757,94764
758,94828
759,98072
760,101605
761,101635
762,101649
763,101707
764,101795
765,101847
766,101948
767,105330
768,105376
769,105378
770,105541
771,105616
772,105618
773,109110
774,112366
775,112370
776,112459
777,112522
778,112545
779,112556
780,112596
781,114055
782,114709
783,116161
784,116170
785,116259
786,116283
787,116299
788,116319
789,116405
790,116898
791,120631
792,122859
793,125250
794,127591
795,127598
796,127609
797,127719
798,127928
799,128171
800,128230
801,128742
802,130196
803,134163
804,134170
805,134174
806,134175
807,134177
808,134249
809,134476
810,134502
811,134503
812,134513
813,134702
814,134769
815,135103
816,135561
817,135807
818,135848
819,135903
820,135909
821,135919
822,135923
823,135927
824,135938
825,136164
826,137298
827,139075
828,140046
829,140064
830,140125
831,141176
832,142755
833,144628
834,146302
835,149389
836,167118
837,167119
838,167120
839,167131
840,167145
841,167149
842,167641
843,169000
844,169002
845,170595
846,171643
847,189976
848,190172
849,193984
850,207001
851,208694
852,208942
853,208945
854,208972
855,209012
856,211853
857,211885
858,212074
859,212621
860,212625
861,212644
862,212651
863,213124
864,213131
865,213308
866,213365
867,213714
868,213948
869,214062
870,215265
871,215983
872,217031
873,218549
874,220656
875,222324
876,222439
877,222464
878,222746
879,222770
880,223681
881,224080
882,225022
883,225084
884,225085
885,225089
886,225939
887,225946
888,225948
889,225995
890,225996
891,226005
892,227756
893,227894
894,228902
895,228963
896,230626
897,230857
898,230858
899,230862
900,230863
901,230875
902,230883
903,230895
904,230897
905,230934
906,230955
907,230970
908,231713
909,234527
910,237018
911,237034
912,237262
913,237269
914,238564
915,238579
916,239843
917,240445
918,240567
919,240609
920,240680
921,241945
922,242697
923,247141
924,247169
925,247206
926,247207
927,247212
928,247219
929,247220
930,247222
931,247671
932,248846
933,249917
934,250805
935,250885
936,250899
937,251447
938,251565
939,251570
940,252924
941,254188
942,254189
943,254408
944,254466
945,254649
946,254898
947,255254
948,255256
949,255433
950,255738
951,256827
952,256854
953,256998
954,257752
955,258022
956,258264
957,258591
958,258625
959,258907
960,259946
961,261127
962,262121
963,263091
964,263105
965,263147
966,265369
967,265376
968,265807
969,265833
970,265864
971,266266
972,266885
973,268776
974,269060
975,269137
976,270037
977,270866
978,274344
979,274435
980,275293
981,275296
982,275298
983,275338
984,275384
985,275417
986,275419
987,275485
988,276944
989,276979
990,278007
991,278015
992,278049
993,278278
994,278288
995,278289
996,278320
997,278324
998,278348
999,278383
1000,278867
1001,279359
1002,279526
1003,279533
1004,279538
1005,279539
1006,279545
1007,279555
1008,279560
1009,279566
1010,279567
1011,279569
1012,279571
1013,280383
1014,281069
1015,281255
1016,282438
1017,282439
1018,282441
1019,282442
1020,282444
1021,282448
1022,282449
1023,282790
1024,284322
1025,285109
1026,285509
1027,285590
1028,285727
1029,285743
1030,286030
1031,286248
1032,286390
1033,286448
1034,286830
1035,286963
1036,286974
1037,286981
1038,286994
1039,287003
1040,287219
1041,288081
1042,288091
1043,288108
1044,288112
1045,288865
1046,290215
1047,290954
1048,291221
1049,291231
1050,291528
1051,292654
1052,292991
1053,293333
1054,293862
1055,294415
1056,295225
1057,295234
1058,297043
1059,297921
1060,298353
1061,299246
1062,300485
1063,301016
1064,302292
1065,302540
1066,302542
1067,302547
1068,302550
1069,303078
1070,326523
1071,326525
1072,326535
1073,326547
1074,329064
1075,330728
1076,331385
1077,331583
1078,333565
1079,333571
1080,334154
1081,334175
1082,334817
1083,336371
1084,336517
1085,337068
1086,337070
1087,338201
1088,338429
1089,339690
1090,339789
1091,339790
1092,339791
1093,339794
1094,339799
1095,339801
1096,339812
1097,339857
1098,339885
1099,340706
1100,341751
1101,341752
1102,342785
1103,343925
1104,344014
1105,344039
1106,344040
1107,344049
1108,344051
1109,344053
1110,344059
1111,344068
1112,344075
1113,344086
1114,344100
1115,344102
1116,344104
1117,344118
1118,344120
1119,344125
1120,344132
1121,344140
1122,344153
1123,344198
1124,344444
1125,344936
1126,346071
1127,346119
1128,346195
1129,346551
1130,347333
1131,350992
1132,352747
1133,352761
1134,352782
1135,352787
1136,352788
1137,352789
1138,352985
1139,353331
1140,353833
1141,354123
1142,354547
1143,355597
1144,355599
1145,356237
1146,357806
1147,357946
1148,357981
1149,357991
1150,357992
1151,358801
1152,359847
1153,360981
1154,363717
1155,364003
1156,364005
1157,364086
1158,364772
1159,364817
1160,364820
1161,364845
1162,364846
1163,364849
1164,364850
1165,364860
1166,364864
1167,364870
1168,366130
1169,366401
1170,366581
1171,366584
1172,367389
1173,367391
1174,367503
1175,368110
1176,372752
1177,372753
1178,373016
1179,373410
1180,373541
1181,373713
1182,374800
1183,375011
1184,375335
1185,375350
1186,375771
1187,376362
1188,377083
1189,380709
1190,380900
1191,381233
1192,382622
1193,384066
1194,385273
1195,386686
1196,387785
1197,387799
1198,387803
1199,387840
1200,388976
1201,393214
1202,393881
1203,395114
1204,395134
1205,395636
1206,396475
1207,396513
1208,397033
1209,397060
1210,397109
1211,397142
1212,397178
1213,397303
1214,399599
1215,399644
1216,399652
1217,399676
