variable,center,scale
per90_goals,0.10115079898407446,0.12661040881237792
per90_assists,0.07265832274074349,0.0900497957493027
per90_xg_shot,0.11148260080384902,0.11130189757226593
per90_xg_assist,0.06988298281059806,0.06220353158527856
per90_shots,0.9388011812645014,0.4109817508550442
per90_head_shots,0.3031155100279557,0.26877337632291126
per90_received_pass,4.868071059248751,1.065019603409894
per90_passes,5.894677118321361,1.09094951843387
per90_forward_passes,3.3115318037944186,0.8590262239691959
per90_back_passes,2.329545339666767,0.5519620737928836
per90_lateral_passes,3.453905363231237,0.8747046188978816
per90_long_passes,1.740999688473212,0.6211917353161733
per90_smart_passes,0.6751232791421662,0.4619029269342063
per90_progressive_passes,2.3759728487341514,0.6102214402607362
per90_passes_to_final_third,4.706257306547887,2.5532938637409237
per90_key_passes,0.2371725206518229,0.1888563828283474
per90_through_passes,0.7445293167925865,0.3323843183686372
per90_crosses,1.057327407438197,0.6161830415463996
per90_shot_assists,0.45447748406820304,0.2994096063603154
rate_successful_passes,0.8089862528893089,0.06980430269699985
rate_successful_progressive_passes,0.7272056607787549,0.0958196396139725
per90_dribbles,1.4106484033530957,0.695647316608366
per90_progressive_run,1.1729423098149971,0.9501631480492426
per90_accelerations,0.5606050715830361,0.5604191768854795
rate_successful_dribbles,0.7127394547978018,0.13882689682253374
per90_touch_in_box,1.5205887568283334,1.3082289937726213
per90_losses,9.506538850467189,2.4107969068803077
per90_own_half_losses,3.2048215751476214,0.8452562972345374
per90_dangerous_own_half_losses,0.40817641043616465,0.2359472225117071
per90_recoveries,2.560994555331614,0.6472369716440538
per90_opponent_half_recoveries,2.267615101303929,0.9647151073150277
per90_dangerous_opponent_half_recoveries,0.30721762285372606,0.19503744635254247
per90_interceptions,1.8963200365079433,0.44793337615413875
per90_clearances,1.1377656710776876,0.487787391595507
per90_shots_blocked,0.4006576455832053,0.2558563088753204
per90_defensive_duels,5.982501725554983,2.087811086654371
per90_offensive_duels,6.190269666675392,4.405176220966447
per90_aerial_duels,3.561461280389287,2.3928700538378602
per90_pressing_duels,2.2309192905720345,2.347509696682914
per90_loose_ball_duels,3.1550313066751814,1.267323953653227
per90_sliding_tackles,0.4309323339691541,0.40335876647663177
per90_dribbles_against,2.346346620388607,1.2015484838231993
rate_defensive_duels_won,0.18681263297283038,0.07125037744977834
rate_offensive_duels_won,0.5112183626731784,0.10951301610845458
rate_aerial_duels_won,0.4366684013905311,0.14454799404573823
per90_fouls,1.2588012603665832,0.5841595360131631
per90_fouls_suffered,1.0219582208810964,0.31792807405487533
per90_yellow_cards,0.22780383074648416,0.14331522815419293
