"rank","elpd","elpd_per_value","n_held_out_values"
0,-370699.022570243,-1.4147089766526,262032
1,-328998.895919398,-1.25556762502061,262032
2,-297818.025501753,-1.13657120314219,262032
3,-278330.836174941,-1.06220170122329,262032
4,-262073.865606525,-1.00015977287709,262032
