K,pc,n_features,n_reliable,share_reliable,max_abs_load
2,PC1,48,47,0.9791666666666666,0.8915972791928212
2,PC2,48,45,0.9375,0.6796101980568197
3,PC1,48,47,0.9791666666666666,0.8996574345134273
3,PC2,48,47,0.9791666666666666,0.654839230165532
3,PC3,48,43,0.8958333333333334,0.5603056866649959
