parameter,n,bias,mae,rmse,median_abs_error,correlation,coverage_90,n_truth_outside_90
Sigma_a_diag,53,0.006913089115218615,0.009338952756460663,0.012525674956855644,0.007198750094609491,0.996721931919659,0.8113207547169812,10
Sigma_b_diag,53,0.05524765573401039,0.05685410985877075,0.09316740665511179,0.03862590240026138,0.8863605863637737,0.5849056603773585,22
psi_a_sd,53,0.001794603082860188,0.011151789991815689,0.0221548992498894,0.008919951499868933,0.9406522300193061,0.9245283018867925,4
psi_b_sd,53,0.018455583580028065,0.039636146632119236,0.051805716937371245,0.030459346007124438,0.7398577570610136,0.9245283018867925,4
sigma_epsilon_sd,53,-0.0013158556333735,0.004155282359839573,0.005264029488343106,0.0033233196839838053,0.9980446409438462,0.9245283018867925,4
