feature,p50_abs,p90_abs,p95_abs,p99_abs,max_abs,frac_gt_tau99,skewness,recommended_transform,icc_player,icc_season,n_distinct_seasons,tau_99_val,verdict
per90_aerial_duels,0.40684243331362124,1.3182103995153358,1.9190026238626867,4.091404948087995,16.53764534220823,0.019406890536415176,1.9451529938625691,sqrt,0.6581380535775,0.015376079376,9,3.136874263453661,contamination-driven
per90_accelerations,0.44385620640610723,1.40001759202362,1.9763929798993827,3.7669382749024396,9.053337372397317,0.015045791539467945,1.71294788261713,sqrt,0.026345904576775,0.00386628425492687,7,3.136874263453661,skew-residual
per90_xg_shot,0.42016933005638585,1.4078353059226445,1.9568551646663832,3.7660812469330773,6.838822215189937,0.01744439598778892,1.8697431121864363,sqrt,0.8093402956975,0.00154038747260292,9,3.136874263453661,contamination-driven
per90_touch_in_box,0.4088133938998456,1.4033268569900708,1.981564177043989,3.51539706467406,6.338875853338796,0.015263846489315308,1.22884502008856,sqrt,0.754005465255,0.043902848386975,4,3.136874263453661,contamination-driven
rate_offensive_duels_won,0.4848444019444605,1.4353062770414557,1.9065714457214935,3.463106549824204,7.928405069695144,0.012211077191452245,0.7530749149013002,none,0.6093377836475,0.11267841295125,11,3.136874263453661,contamination-driven
per90_offensive_duels,0.4124561027403696,1.3867697410778383,1.9088935753360716,3.4278707909263724,7.8288818124326855,0.01439162668992586,0.8758238921247132,none,0.8397913331975,0.028625279452325,4,3.136874263453661,contamination-driven
per90_sliding_tackles,0.4412082213970827,1.3662082717461046,1.8347530246015396,3.407039758578189,10.930053620281745,0.012211077191452245,1.840125282112188,sqrt,0.810303223145,0.06235049734575,8,3.136874263453661,contamination-driven
rate_successful_progressive_passes,0.49420901884139185,1.427440851162368,1.8682531327119605,3.334443334045223,8.746368738623323,0.01286524204099433,-1.018050902473135,none,0.75263654082,0.01140201460645,5,3.136874263453661,contamination-driven
per90_pressing_duels,0.4899205000953809,1.3236982842650535,1.7586389525221215,3.3239900362423014,7.295069837022957,0.011993022241604884,1.4729726046083258,sqrt,0.7860174982225,0.077482891283,2,3.136874263453661,contamination-driven
per90_goals,0.4330395834666283,1.4966044336408415,1.9922491695354825,3.295553364822941,5.495047657528258,0.01264718709114697,2.293489375295159,log1p,0.64933393634,0.00605142503328749,4,3.136874263453661,contamination-driven
per90_assists,0.5262187323801392,1.5382359353018997,1.9060750391542793,3.2593782796377355,7.0451900880347,0.012211077191452245,1.7091669543404868,sqrt,0.3816502063675,0.014722958842525,5,3.136874263453661,contamination-driven
per90_progressive_run,0.4404044152859341,1.3892179568590248,1.8436897559841177,3.2561474547797227,12.219865219211204,0.011993022241604884,1.721921134646274,sqrt,0.465975769415,0.08666407002925,3,3.136874263453661,contamination-driven
per90_xg_assist,0.499642061544031,1.540494083834093,1.9181632382143519,3.1670558497051546,7.866274968021714,0.010684692542520715,1.3593801936391243,sqrt,0.6589285731725,0.008554317806325,3,3.136874263453661,contamination-driven
rate_successful_dribbles,0.4674159019759606,1.5673611058830552,1.9554642438827767,3.166735773245776,7.6714656052435535,0.010248582642825993,-0.5426430196450888,none,0.802209070335,0.09474225897425,9,3.136874263453661,contamination-driven
per90_dangerous_own_half_losses,0.5282885775552808,1.4747781859111548,1.8619707388412696,3.099127152300789,7.4394833622043945,0.00981247274313127,0.8561595111749498,none,0.87106685668,0.00104985629289682,3,3.136874263453661,unremarkable_p99
per90_yellow_cards,0.49835312387227776,1.3808923345878372,1.8057927983542068,3.015587329421841,5.809018655753962,0.009376362843436545,0.8533236685033699,none,0.77050427556,0.0039308212506,2,3.136874263453661,unremarkable_p99
per90_dangerous_opponent_half_recoveries,0.5206652674194697,1.4218566893569342,1.7940945128556685,2.9876711764900357,5.741555115898873,0.009376362843436545,0.7267699940621233,none,0.4767370513475,0.01499787352045,1,3.136874263453661,unremarkable_p99
per90_loose_ball_duels,0.46884368656456876,1.3282393165938373,1.737723409786724,2.97810395299255,8.005148907238894,0.008068033144352376,0.6556265282913809,none,0.8706201427075,0.051638343788,4,3.136874263453661,unremarkable_p99
rate_successful_passes,0.4466259909282596,1.3622238513269758,1.7406177808367305,2.9314026440916052,6.350841774744185,0.006977758395115569,-0.5456087312442423,none,0.8442934492625,0.0077810389354275,3,3.136874263453661,unremarkable_p99
per90_dribbles_against,0.4674059067085233,1.3437239172855313,1.7458760480083397,2.912439235870469,6.618814446247715,0.0089402529437418235,0.326762913237217,none,0.4653666637375,0.3049849803025,2,3.136874263453661,unremarkable_p99
rate_aerial_duels_won,0.48053869181349407,1.4096993999169638,1.7856698694266273,2.8140023427094083,6.473586615743177,0.00719581334496293,0.5928982540039834,none,0.69932018073,0.1277122281165,1,3.136874263453661,unremarkable_p99
per90_key_passes,0.49742887010251524,1.4820405176536195,1.8669045469274026,2.813421959322964,4.490773485636815,0.005233318796336677,1.1747730249082382,sqrt,0.7719214687175,0.04865863993599999,NA,3.136874263453661,unremarkable_p99
per90_lateral_passes,0.4801683223511267,1.3833323690957355,1.8349585813342668,2.7940715849229005,6.199806935952205,0.0056694286960314,0.9820692601858554,none,0.8503167652,0.004307332679915,1,3.136874263453661,unremarkable_p99
per90_received_pass,0.4923197256924146,1.3751860519545407,1.7905208473107659,2.773708491005229,6.737035484066408,0.00436109899694723,0.909200771432259,none,0.1610181042175,0.00208189564138492,1,3.136874263453661,unremarkable_p99
per90_passes_to_final_third,0.4849095937929493,1.3832405038700941,1.7518222170713043,2.766186148666535,5.315556004955364,0.006323593545573485,0.8773152324211305,none,0.44033595837,0.368352308885,1,3.136874263453661,unremarkable_p99
per90_shots_blocked,0.5443145307331512,1.3648341999814302,1.7380996292351805,2.712832387742029,3.8668853216973353,0.0030527692978630614,1.454527670316798,sqrt,0.4599007598225,0.00776110149475,NA,3.136874263453661,unremarkable_p99
per90_fouls,0.47234027340621365,1.3254637372145535,1.7358504230027016,2.700062284635754,6.375620744515551,0.005015263846489315,0.5235155725581069,none,0.21956395802,0.13070246963124998,3,3.136874263453661,unremarkable_p99
per90_smart_passes,0.4884817041412076,1.4074876455909449,1.7666139120725695,2.698750314576008,6.059674194039165,0.004579153946794592,3.130602606645216,log1p,0.7930684253225,0.019203019177075,1,3.136874263453661,unremarkable_p99
per90_shots,0.46732884921712126,1.351851113007521,1.7156943390637462,2.6869160564349714,6.467402038305577,0.005015263846489315,1.2075213356861263,sqrt,0.8570035421675,0.0100585951664,1,3.136874263453661,unremarkable_p99
per90_shot_assists,0.5057712767298903,1.4654329357845512,1.8549543212098167,2.648151864109371,4.423550112208652,0.0039249890972525075,1.081264264466122,sqrt,0.57776786549,0.130844606406,NA,3.136874263453661,unremarkable_p99
per90_defensive_duels,0.46876300194579595,1.2885319997101514,1.6728105615474511,2.636314306020386,4.76409480987255,0.004579153946794592,-0.2645869726139634,none,0.7806371912825,0.0663148090305,NA,3.136874263453661,unremarkable_p99
per90_through_passes,0.5044309313297806,1.3689717605813252,1.7723949664847898,2.6304155398544222,4.410756225761703,0.0032708242477104232,2.664161340432361,log1p,0.7815386401925,0.021985786619525,NA,3.136874263453661,unremarkable_p99
per90_opponent_half_recoveries,0.4783029517977687,1.326664231497901,1.7023461592159181,2.625475114736389,4.8808451760650975,0.004797208896641954,0.3197576854378654,none,0.673475739015,0.01802978284975,NA,3.136874263453661,unremarkable_p99
per90_passes,0.509696116049869,1.3758862751214178,1.8080659936204104,2.625296736978835,6.410509961680769,0.0026166593981683385,0.5502622487113626,none,0.176508680465,0.00294843948304499,1,3.136874263453661,unremarkable_p99
rate_defensive_duels_won,0.508654705117972,1.4363516542875965,1.8774737840020657,2.6202641656331904,5.1806777046666825,0.0030527692978630614,1.9667647618742357,sqrt,0.7182396514175,0.1133905076205,1,3.136874263453661,unremarkable_p99
per90_back_passes,0.488509318257782,1.3244206633819111,1.6918158993650165,2.6193719512510056,4.430407022654406,0.0034888791975577847,0.2993609653957574,none,0.854161799485,0.009567488789925,NA,3.136874263453661,unremarkable_p99
per90_progressive_passes,0.509264864052603,1.413675481405579,1.8037023430754973,2.619108016934557,4.6201039519606,0.004143044047099869,0.23289670773686572,none,0.84156844033,0.004405431260235,NA,3.136874263453661,unremarkable_p99
per90_clearances,0.48352117197885336,1.35195975124785,1.7072023751537042,2.613421545895226,5.1814275847863085,0.004579153946794592,1.1796773173063395,sqrt,0.7903941958925,0.00498496762591,1,3.136874263453661,unremarkable_p99
per90_crosses,0.47156348142437143,1.3082362780754941,1.6448199683824518,2.608649238014313,4.794081635982942,0.004579153946794592,1.2018043088269952,sqrt,0.648058729305,0.0049711491278225,NA,3.136874263453661,unremarkable_p99
per90_losses,0.46625114251701916,1.359678637428971,1.7358657057561246,2.5956950721744,8.694736960620382,0.004579153946794592,0.01539274650748082,none,0.6028725191875,0.1536822384545,1,3.136874263453661,unremarkable_p99
per90_forward_passes,0.5327810493380655,1.4503839648216688,1.776293387731568,2.587209465397247,5.240466548431573,0.0034888791975577847,0.2443144338509335,none,0.785387695715,0.03514498597065,1,3.136874263453661,unremarkable_p99
per90_dribbles,0.46497828045973305,1.3298543001427463,1.66847845478405,2.534895238187001,4.427949368754017,0.003706934147405146,1.613770029357501,sqrt,0.7478408394925,0.0364206151654,NA,3.136874263453661,unremarkable_p99
per90_own_half_losses,0.5063206448411637,1.3817587674225602,1.7713970818714229,2.531380559054951,4.689476856899645,0.00436109899694723,-0.1931101231539692,none,0.2288792289375,0.0079764621640675,NA,3.136874263453661,unremarkable_p99
per90_fouls_suffered,0.4784496480839053,1.3106319098433252,1.672437977077936,2.493338125337452,5.825497563835694,0.0030527692978630614,0.8594738998418555,none,0.4094234239425,0.012330071454725,1,3.136874263453661,unremarkable_p99
per90_long_passes,0.4964705396317147,1.3647498776789444,1.6927542537719669,2.4922280308227465,4.619262238968711,0.0019624945486262538,0.8763484978827446,none,0.8203870508125,0.00773331251575,NA,3.136874263453661,unremarkable_p99
per90_recoveries,0.4956867433251987,1.3533298987133473,1.7291510172212745,2.4814691558740107,4.47455994566774,0.0017444395987788923,0.2123744212248248,none,0.7507918417275,0.07141682098425,NA,3.136874263453661,unremarkable_p99
per90_interceptions,0.4958805119026559,1.3714676888380606,1.7068519694619173,2.434185224258542,3.9814930435327307,0.0019624945486262538,0.31102630665506814,none,0.887367626605,0.0110822054284,NA,3.136874263453661,unremarkable_p99
per90_head_shots,0.4854209086481379,1.3330833243909335,1.6881394760119879,2.3708958147432417,4.294536490924271,0.0019624945486262538,2.3274789159976117,log1p,0.74149544797,0.00119627582496393,NA,3.136874263453661,unremarkable_p99
