player_index,player_name,top1_neighbor_index,top1_neighbor_name,top1_mean_dist,p_closest_neighbor
486,J.Crespo Rincón,239,Alejandro Gálvez,0.4668898791695719,0.03225
992,Kike Barja,254,Pedro León,0.42225696920860706,0.03625
1291,Oihan Sancet,1041,Mikel Oyarzabal,0.4262799124547376,0.10275
1143,Fran García,758,Héctor Bellerín,0.4145889796039062,0.03675
851,N. Leiva,798,Rubén García,0.4814649447307307,0.04525
1125,Pol Lozano,131,M. Wakaso,0.4262438242913114,0.0495
9,N. Gudelj,615,A. Witsel,0.3708542702339726,0.09275
1368,Alejandro Cantero,1112,L. Suárez,0.5689631406234362,0.03675
1432,Nico Williams,1453,Bryan Zaragoza,0.4745947605114579,0.21825
152,José Alberto Cañas,173,Íñigo Martínez,0.38743569588421145,0.0365
686,M. Carcela-González,800,José Luis Morales,0.5158944391992255,0.038
580,Casemiro,1519,Javi Rodríguez,0.42049717854530383,0.105
1220,Martín Aguirregabiria,797,Rubén Duarte,0.35147283995353434,0.113
987,Toni Villa,1331,Robert Navarro,0.4136680062047466,0.06125
1429,César Tárrega,173,Íñigo Martínez,0.3827732624182568,0.03425
979,S. Chakla,652,M. Dos Santos,0.5787499976103648,0.05025
1452,Raúl Torrente,811,Yeray Álvarez,0.40776147879396657,0.06175
194,Alberto Bueno,469,K. Boateng,0.5523078273538603,0.286
1365,Aiham Ousou,318,Omar Mascarell,0.4878229594638929,0.02225
318,Omar Mascarell,640,Gabriel Mercado,0.38446168631680294,0.04575
1507,Carlos Domínguez,731,C. Lenglet,0.4219764593009042,0.10775
1271,Bryan Gil,1241,T. Kubo,0.37389009869774315,0.06525
434,Rubén Rochina,1276,Miguel Gutiérrez,0.3893048768484833,0.1075
215,Hugo Mallo,311,Yuri Berchiche,0.38005284344277035,0.1115
737,M. Pašalić,188,Adrián González,0.4939089026046683,0.18825
465,J. Geis,1469,Kike Salas,0.5310997694480741,0.04825
796,G. Maripán,377,Bruno González,0.43312005937327036,0.0695
1425,Iker Muñoz,80,Mikel San José,0.4549366763663148,0.04
1437,Savinho,869,A. Januzaj,0.5056384007562594,0.13975
1369,Peque Fernández,235,N. El Zhar,0.4419368699082652,0.05475
596,M. Braithwaite,269,Ángel Rodríguez,0.3547808100739843,0.08525
562,Sidnei,1178,Alejandro Catena,0.37175301824490353,0.029
1274,E. Boyomo,375,Dani García,0.4282075000036748,0.02675
644,L. Vietto,1185,João Félix,0.5104054061917195,0.1905
130,Cani,554,D. Wass,0.47627113110426667,0.0455
26,Paco Alcácer,571,C. Bacca,0.47880397082267784,0.04025
124,F. Lejeune,1078,J. Aidoo,0.3503704081493156,0.036
443,A. Alcáraz,396,David García,0.4467890936324775,0.0315
475,M. Pjanić,58,Xavi,0.9207267277816109,0.61
537,E. Rivière,1013,Gorka Guruzeta,0.5118006529278483,0.04325
928,D. Sow,994,Raúl Guti,0.4818086781681647,0.0785
496,J. Larrivey,213,K. Uche,0.5817854423170452,0.3075
93,D. Godín,322,J. Babin,0.384166759793868,0.041
614,N. Gaitán,315,Lucas Vázquez,0.5330892625249153,0.1345
25,Aritz Aduriz,772,Carlos Castro,0.45697003178791734,0.1885
1417,Diego López,848,Álvaro García,0.42962013745841987,0.04575
1094,V. Rosier,193,Mikel Balenziaga,0.4023983185437527,0.04925
859,J. Lerma,1034,Manu Morlanes,0.42773694458149913,0.044
1224,V. Castellanos,975,C. Larin,0.4924497645947456,0.03825
581,Willian José,460,M. Mandžukić,0.4705975772875877,0.10775
385,Sandro Ramírez,1072,C. Hernández,0.4159009860812562,0.045
493,M. Aguirregaray,1143,Fran García,0.49680943880716355,0.0375
584,Douglas,1134,Javi Galán,0.4418823864147385,0.12
310,Borja Valle,509,N. Sansone,0.537332288997932,0.0745
861,E. Bailly,237,Aridane Hernández,0.35800241037111186,0.031
1267,Aihen Muñoz,203,Dídac Vilá,0.36905872177753285,0.0575
