player_id,player_index,n_observed_seasons,first_season_index,last_season_index,span_seasons,n_missing_within_span,has_gap,gap_count,recurrence_class
25831,538,2,2,3,2,0,FALSE,0,consecutive-repeat
25867,539,1,8,8,1,0,FALSE,0,one-season
25888,540,4,1,4,4,0,FALSE,0,consecutive-repeat
25942,541,1,5,5,1,0,FALSE,0,one-season
26032,542,1,4,4,1,0,FALSE,0,one-season
26038,543,1,1,1,1,0,FALSE,0,one-season
26065,544,1,3,3,1,0,FALSE,0,one-season
26084,545,1,4,4,1,0,FALSE,0,one-season
26167,546,3,2,4,3,0,FALSE,0,consecutive-repeat
26195,547,1,3,3,1,0,FALSE,0,one-season
26307,548,8,3,10,8,0,FALSE,0,consecutive-repeat
26332,549,1,4,4,1,0,FALSE,0,one-season
26384,550,3,1,5,5,2,TRUE,2,repeated-with-gap
26515,551,1,2,2,1,0,FALSE,0,one-season
26518,552,1,4,4,1,0,FALSE,0,one-season
26638,553,2,5,6,2,0,FALSE,0,consecutive-repeat
26652,554,7,2,8,7,0,FALSE,0,consecutive-repeat
26792,555,2,2,3,2,0,FALSE,0,consecutive-repeat
28115,556,5,6,10,5,0,FALSE,0,consecutive-repeat
28232,557,2,5,6,2,0,FALSE,0,consecutive-repeat
28292,558,1,2,2,1,0,FALSE,0,one-season
28529,559,4,8,11,4,0,FALSE,0,consecutive-repeat
28922,560,5,5,9,5,0,FALSE,0,consecutive-repeat
29642,561,1,4,4,1,0,FALSE,0,one-season
32577,562,7,1,7,7,0,FALSE,0,consecutive-repeat
32601,563,5,1,8,8,3,TRUE,2,repeated-with-gap
32652,564,2,3,4,2,0,FALSE,0,consecutive-repeat
32793,565,1,2,2,1,0,FALSE,0,one-season
32968,566,3,1,4,4,1,TRUE,1,repeated-with-gap
32978,567,4,5,8,4,0,FALSE,0,consecutive-repeat
33219,568,1,2,2,1,0,FALSE,0,one-season
37762,569,7,5,11,7,0,FALSE,0,consecutive-repeat
37814,570,1,3,3,1,0,FALSE,0,one-season
37831,571,6,1,8,8,2,TRUE,1,repeated-with-gap
37836,572,1,4,4,1,0,FALSE,0,one-season
38093,573,1,5,5,1,0,FALSE,0,one-season
38094,574,1,4,4,1,0,FALSE,0,one-season
38436,575,2,3,4,2,0,FALSE,0,consecutive-repeat
40542,576,3,6,8,3,0,FALSE,0,consecutive-repeat
40550,577,1,4,4,1,0,FALSE,0,one-season
40574,578,1,2,2,1,0,FALSE,0,one-season
40614,579,2,3,4,2,0,FALSE,0,consecutive-repeat
40756,580,7,2,8,7,0,FALSE,0,consecutive-repeat
40770,581,9,2,10,9,0,FALSE,0,consecutive-repeat
40800,582,1,4,4,1,0,FALSE,0,one-season
40810,583,3,1,3,3,0,FALSE,0,consecutive-repeat
41029,584,1,3,3,1,0,FALSE,0,one-season
41124,585,4,1,6,6,2,TRUE,1,repeated-with-gap
