player_index,player_id,player_name,n_seasons,pc1_score,pc2_score,pc3_score,pc,direction,rank_within
47,3337,Andreu Fontàs,4,6.892304056094269,0.912566297794919,1.706603245174062,PC1,top,1
60,3355,J. Mascherano,4,6.526719108343198,2.4839755655884908,3.2820835591473636,PC1,top,2
1124,405603,M. Gabbia,1,6.376365457442676,-0.6176286361796999,1.1887779519881885,PC1,top,3
67,3372,Aythami Artiles,2,6.366964231658005,-1.5216812326168403,2.011736960820164,PC1,top,4
68,3374,Zé Castro,2,6.293650766950497,0.13250343091528036,1.6756640837989085,PC1,top,5
150,3585,Antonio Amaya,2,6.236303501808185,-3.1131207615119605,-0.08196760499479529,PC1,top,6
51,3341,Gerard Piqué,8,6.1675518463108485,-0.1741213619925388,3.3977064103650374,PC1,top,7
17,3277,Víctor Ruíz,8,6.000467667499291,-1.632867301518525,1.4020017474044872,PC1,top,8
626,70391,A. Ba,2,5.952864481202701,-2.305275118473398,0.30838945788051203,PC1,top,9
200,3791,Z. Feddal,5,5.950890166774429,-1.1748303119978794,1.5446080285320198,PC1,top,10
228,3916,G. Cabral,5,5.934171526680846,-1.5418706988451796,1.660875559415843,PC1,top,11
66,3368,NA,1,5.933707150656568,-1.4955058997405088,-0.3898223854298834,PC1,top,12
880,268776,W. Hoedt,1,5.918757875996172,-0.23015895694738386,0.9462634135620679,PC1,top,13
512,25397,S. Umtiti,5,5.907993077326575,0.2788036826881169,3.0951158501108686,PC1,top,14
1490,773942,Pau Cubarsí,3,5.864128655956911,1.3236263033644111,3.7610751519182966,PC1,top,15
467,20393,D. Bonera,3,5.840240760393517,-1.7554458848563432,1.396084674563302,PC1,top,16
139,3561,Weligton,2,5.8021117955405614,-2.281654792962066,-0.2427579018347749,PC1,top,17
29,3300,Raúl Albiol,6,5.7417441897288715,-0.9045214763867138,1.6723549884731117,PC1,top,18
612,70112,E. Garay,4,5.733911968094142,-1.9216425393681984,1.5694344890223917,PC1,top,19
481,20612,S. Mustafi,3,5.71729747065708,-2.4076605982723516,0.7950361766243117,PC1,top,20
583,40810,Neymar,3,-8.509078602703607,6.566794337437423,3.4520367706134776,PC1,bottom,1
1225,493295,Vinícius Júnior,8,-8.405435051337099,4.184953040315889,0.7408078688666744,PC1,bottom,2
1037,353833,K. Mbappé,2,-8.240476546646944,2.0262858206745995,3.4034881299537942,PC1,bottom,3
63,3359,L. Messi,7,-7.945587407389555,7.193618203184952,6.186470835353133,PC1,bottom,4
39,3322,Cristiano Ronaldo,4,-7.508229515490691,-0.9140549525505144,5.048177491468085,PC1,bottom,5
566,32968,N. Amrabat,3,-7.429753308516546,1.1627582581954852,-0.9160922252750342,PC1,bottom,6
1210,483256,Alfon González,1,-7.406866975036246,1.2950570619181752,-0.08795212066077575,PC1,bottom,7
3,118,M. Depay,2,-7.3459646332673785,0.8331972676622361,2.1613052277156157,PC1,bottom,8
1333,563391,G. Mikautadze,1,-7.28372613600343,-2.2269377489999935,1.2101478390669058,PC1,bottom,9
1463,712692,Maroan Sannadi,1,-7.263922882103215,-1.612550449213642,0.09329036185856718,PC1,bottom,10
1488,770398,Lamine Yamal,3,-7.2195913074549924,5.715185013341942,1.303915624742931,PC1,bottom,11
1106,399599,A. Isak,3,-7.1900593971892475,-2.700138717090148,1.1323993141234432,PC1,bottom,12
553,26638,K. Toko-Ekambi,2,-7.014343238847672,-2.069775232095992,1.1845045082747834,PC1,bottom,13
937,286390,O. Dembélé,5,-6.923162355061643,5.995527095942288,1.4810412762055796,PC1,bottom,14
985,336517,A. Dovbyk,1,-6.890864459370228,-5.687289186737507,2.0476035337919316,PC1,bottom,15
431,7972,L. Suárez,8,-6.804841036590448,-0.6140884231291466,3.42489654109816,PC1,bottom,16
1439,669602,N. Jackson,1,-6.793540064410552,-2.1015933184768016,0.8457020914009324,PC1,bottom,17
931,285509,I. Success,2,-6.749090874186024,1.0134408019784966,-0.8451424619307454,PC1,bottom,18
535,25795,W. Ben Yedder,3,-6.742899520278552,-1.9221118409816211,2.4530554804995064,PC1,bottom,19
1405,622787,M. Cho,1,-6.740975831751152,2.2104414594688664,-1.8288582379513039,PC1,bottom,20
58,3352,Xavi,1,2.0181072858211486,7.322456428872753,5.706863746890722,PC2,top,1
63,3359,L. Messi,7,-7.945587407389555,7.193618203184952,6.186470835353133,PC2,top,2
59,3353,Andrés Iniesta,4,0.6820759141398223,6.790524030100277,3.9399957686631266,PC2,top,3
611,70096,J. Rodríguez,3,-2.735001143938509,6.740656366268297,3.4595638884436055,PC2,top,4
583,40810,Neymar,3,-8.509078602703607,6.566794337437423,3.4520367706134776,PC2,top,5
18,3280,É. Banega,5,0.5604847108992974,6.464865155426219,2.2658678266586554,PC2,top,6
447,14723,T. Kroos,10,2.37097154760074,6.220958914987725,4.1486834411995615,PC2,top,7
35,3310,Marcelo,8,0.6655182632571688,6.179480005999134,1.1464567080487051,PC2,top,8
44,3334,Dani Alves,3,2.456282408739886,6.145224598499107,0.7929409019890672,PC2,top,9
937,286390,O. Dembélé,5,-6.923162355061643,5.995527095942288,1.4810412762055796,PC2,top,10
141,3563,Isco,10,-3.506564263495913,5.951178755217277,2.869017818914943,PC2,top,11
1395,618294,Pedri,6,-0.484211108636536,5.945563545131929,2.989420834436715,PC2,top,12
475,20443,M. Pjanić,1,2.5777128456722416,5.922482658458973,5.252272629984165,PC2,top,13
142,3565,NA,2,-2.5178784786767223,5.896600895553705,1.1275763294164949,PC2,top,14
307,4379,Jonathan Viera,4,-3.967028566216663,5.889736821384155,3.255722921845097,PC2,top,15
