player_id,player_name,Attacking output,Shooting rates,Passing volume,Passing quality,Progressive actions,Defending,Dueling,Discipline,pc1_score,pc2_score,pc3_score,n_seasons
12,K. Omeruo,0.45781556572923476,4.316546762589928,28.71157619359058,61.216481360366245,4.839764551994768,99.54218443427077,14.780902550686722,71.026814911707,5.349066636416308,2.891002947778498,0.107921859274865,2
38,D. Blind,25.964682799215172,10.26814911706998,98.03793328973185,94.37540876389797,41.988227599738394,70.17658600392413,21.648136036625246,93.91759319816873,5.235192352185061,-2.6065393316259384,-2.183799539707103,3
118,M. Depay,98.6265533028123,98.88816219751472,31.523871811641595,42.57684761281884,86.65794637017659,0.06540222367560497,83.25703073904512,72.79267495094834,-7.346427942376407,-0.5732916232028926,-2.1363661578267457,2
145,T. Vilhena,61.47809025506867,63.89797253106606,38.26030085022891,18.705035971223023,67.42969260954872,39.30673642903859,62.65533028122956,21.778940483976456,-1.2728297843892409,-0.21600839055066143,1.2863564162286774,1
151,J. Guidetti,86.919555264879,89.5356442119032,11.314584695879661,23.610202746893393,26.03008502289078,12.622629169391757,21.321124918247218,26.55330281229562,-5.343846983394638,2.8975921884473848,-1.4734630293821047,4
253,Q. Promes,90.38587311968607,68.93394375408764,88.75081752779595,44.146500981033356,92.41334205362982,36.23283191628515,65.92544146500981,79.46370176586004,-2.4214777809101804,-3.619912269026949,-0.20011011270312984,1
254,R. Rosales,42.903858731196856,15.304120340091561,86.8541530412034,30.085022890778284,35.97122302158273,69.26095487246566,43.03466317854807,71.48463047743623,2.3100197043410855,-2.004077099565608,1.932114964761702,6
267,L. de Jong,80.64094179202093,96.1412688031393,4.578155657292348,40.483976455199475,17.658600392413344,4.970568999345978,66.77567037279267,76.45519947678221,-4.89531217515449,5.2922388557869455,-1.9070977138655147,3
312,N. Gudelj,13.799869195552649,42.83845650752126,43.10006540222368,94.17920209287117,26.81491170699804,80.31393067364291,38.39110529758012,18.508829300196204,3.81236451494293,1.0274033625349337,-1.3642576488036404,7
1720,S. Becker,92.28253760627861,84.76128188358403,22.825376062786134,4.839764551994768,86.39633747547416,5.297580117724002,42.77305428384565,83.51863963374755,-5.7570474861150736,-0.0123220027751889,0.0334060453342783,2
