feature,icc_player,icc_player_q5,icc_player_q95,icc_season,icc_season_q5,icc_season_q95,icc_residual,icc_residual_q5,icc_residual_q95
per90_recoveries,0.886793995,0.876224014,0.895693583,0.007208089,0.0035246669499999902,0.01687741124999998,0.10520036,0.0977344406,0.1126456965
per90_offensive_duels,0.87465126,0.826556653,0.8952467460000001,0.04222748649999999,0.02153981944999999,0.0943803856,0.08241388599999999,0.0754036545,0.0892162311
per90_touch_in_box,0.872579505,0.862694724,0.8817310815,0.00122848315,4.32353988e-4,0.00347394024999999,0.125859845,0.116784434,0.135576647
per90_forward_passes,0.86954606,0.8596340025,0.878758861,0.00259210155,0.00116675728,0.00691322522999999,0.12749239,0.1188042155,0.136447353
per90_crosses,0.853412245,0.836507423,0.8649619135,0.0115135155,0.005549777195,0.02750717284999999,0.13405985,0.124889243,0.144119236
per90_passes,0.84780793,0.8349255195,0.8586574195,0.00794621005,0.00386394931,0.01982446365,0.143094635,0.1339896415,0.1525938945
per90_long_passes,0.8350886,0.8226804525,0.8462193205,0.0036595484,0.00152029043,0.00996098449999999,0.160570585,0.15015392949999998,0.1718050045
per90_xg_shot,0.83213873,0.8194904064999999,0.844124287,4.12117915e-4,2.75024294e-5,0.00164556429499999,0.16730252499999998,0.15524111149999997,0.17984454100000002
per90_clearances,0.8308717999999999,0.80940764,0.845176275,0.01665887249999999,0.008433546185,0.03966429295,0.15113844999999998,0.1404529145,0.1621747005
per90_shots,0.8261767600000001,0.812932779,0.838759369,0.0059813628,0.002734573325,0.0154284063,0.166769915,0.15567958449999997,0.1788082545
per90_lateral_passes,0.81528616,0.7983496050000001,0.828568252,0.0121188925,0.005866998665,0.02875129964999999,0.17148358000000002,0.159858904,0.182778362
per90_progressive_passes,0.805293085,0.766493082,0.8260162025,0.0386167535,0.01972013725,0.0837313965,0.154450225,0.14262103850000002,0.1663906665
per90_aerial_duels,0.7970289500000001,0.7417496285,0.825067201,0.05888302099999999,0.03079785095,0.1235048005,0.1425023,0.12919480249999998,0.1553429455
per90_dribbles,0.795879805,0.704075418,0.839807876,0.10550349,0.05853053884999999,0.2085188655,0.097546622,0.08582545080000001,0.10728055949999998
per90_received_pass,0.78160555,0.7460649205000001,0.8009099869999999,0.033393267,0.01770694255,0.0768417635,0.182858015,0.1695907935,0.195558789
per90_interceptions,0.769959685,0.7147442755,0.7968802535,0.0566697885,0.02962253585,0.12230017399999998,0.17142053,0.156429504,0.1852533865
per90_back_passes,0.766887645,0.748440321,0.7823468335,0.00998262335,0.004818445195,0.02369416215,0.22176657,0.2073201865,0.2376687385
rate_successful_passes,0.7630515,0.7326584785,0.7825289609999999,0.028107256,0.0144005508,0.06378578095,0.20709052,0.1921411855,0.221512898
per90_passes_to_final_third,0.761389365,0.7399661575,0.7783260630000001,0.016768298,0.00814605037,0.03885558674999993,0.22044318,0.2059566465,0.2358589425
