param,mean,sd,q05,q50,q95,ess_bulk,rhat
nu,4.902319264125,0.06569889555118692,4.792683235,4.90231835,5.01071933,2733.6838935218816,1.000255949590222
Lambda_a.1.1,0.6973235775325,0.01775238734042083,0.6685301634999999,0.697249835,0.726271436,654.7635144597466,1.0012456672373902
Lambda_a.2.1,0.29646363681,0.018056642596007613,0.266824942,0.296619935,0.326055529,310.121043628189,1.0029794619489276
Lambda_a.3.1,0.8110112518625,0.018096965607189458,0.782081754,0.81068126,0.841699218,421.16964341732734,1.005239927053862
Lambda_a.4.1,0.350731286725,0.022584060346364752,0.312816967,0.350903735,0.38789577049999996,219.15299967396564,1.004696131951038
Lambda_a.5.1,0.7742582953925,0.01956026663217384,0.74185768,0.774096015,0.8063906215000001,418.0296159622084,0.9999505134883573
Lambda_a.6.1,0.4875404541225,0.024003433434648978,0.4482450935,0.48763747999999996,0.5273621470000001,265.58635207827786,1.0109195868012015
Lambda_a.7.1,-0.3429649292025,0.02558774587317938,-0.383717355,-0.34290327,-0.301065825,214.9701531051437,1.0135699407672505
Lambda_a.8.1,-0.47005428353,0.025256001515138998,-0.510521475,-0.46992438000000003,-0.4283700755,214.9788821966821,1.0131475361184468
Lambda_a.9.1,-0.73188638613,0.021567351156833756,-0.7668313535,-0.732172545,-0.6952154795000001,259.7801112215646,1.0089905693707664
Lambda_a.10.1,0.2527407193675,0.025586391326751307,0.21159248100000003,0.253025455,0.29447333200000003,215.69048358487763,1.0074454629521992
Lambda_a.11.1,-0.449509969025,0.024664901185449367,-0.48928708049999997,-0.44964281,-0.408874754,253.64649422531824,1.0099722824017192
Lambda_a.12.1,-0.7483970205925,0.020574562649293325,-0.7831268349999999,-0.74823239,-0.7154259525000001,424.4584131480556,1.0038308856199416
Lambda_a.13.1,0.2921062823025,0.01849965672725681,0.261999995,0.29252336,0.32256096799999995,244.68334583683185,1.0037072679641192
Lambda_a.14.1,-0.7359871910775,0.02058432322863045,-0.7690669520000001,-0.7360840900000001,-0.7024209985000001,278.6193637959111,1.0117430300492951
Lambda_a.15.1,-0.4596991565725,0.02258390489660114,-0.4969318145,-0.459422285,-0.42364261350000004,291.93382724102077,1.0072598624428808
Lambda_a.16.1,0.3318188678925,0.023495661634617172,0.2933772505000001,0.33165514,0.3703853455,217.53134103095567,1.0050216314778015
Lambda_a.17.1,0.11514749358675,0.02236956991434294,0.07845025135,0.115139395,0.15138551600000003,302.5235270559806,1.006155210172897
Lambda_a.18.1,0.037634855977765946,0.02777504574361582,-0.007932187834999998,0.037998326,0.08355429454999998,203.45792912149165,1.0041888386913043
Lambda_a.19.1,0.37039616334,0.024697320251934416,0.33021276549999995,0.370382995,0.41093736849999996,195.85731863919185,1.0072970087095225
Lambda_a.20.1,-0.2152565522825,0.025172382069699118,-0.2561339285,-0.215931135,-0.172466522,313.444910780591,1.002981230499348
Lambda_a.21.1,0.05932055755615,0.02044733221755286,0.0247814441,0.0595865695,0.09194887719999999,311.571329565703,1.0094169367412205
Lambda_a.22.1,0.4265498656225,0.026223075123864622,0.3833529095,0.426546325,0.47132318549999996,216.0624447479539,1.00191200105131
Lambda_a.23.1,0.21338230708,0.02389878847521854,0.17512695150000002,0.21295688000000002,0.2530821485,249.44717055437064,1.0051104573554022
Lambda_a.24.1,0.1838592349825,0.022155520715983913,0.148179925,0.184226375,0.22019221449999998,285.161013666703,1.0026502559795385
Lambda_a.25.1,-0.20047495646,0.018065547014174618,-0.22977606099999998,-0.200235125,-0.171316134,866.9775466431342,1.0015700068433517
Lambda_a.26.1,0.7735140832425,0.018607878142592075,0.7428928260000001,0.77334713,0.8048783255,405.9786470688588,1.000111000826776
Lambda_a.27.1,0.30488193634,0.02318953529247082,0.26615743550000004,0.30463501,0.34319833749999995,400.4323053120627,1.0017368649499876
Lambda_a.28.1,-0.576853880775,0.019202032747786913,-0.6086707874999999,-0.5766892299999999,-0.545952627,765.1576120002419,1.0009671569977212
Lambda_a.29.1,-0.46820257068,0.01790769331175534,-0.497381039,-0.46790596500000003,-0.437942975,439.7566321069905,0.9998805146854255
Lambda_a.30.1,-0.8329849079,0.019527632008285212,-0.8659375565,-0.83273934,-0.8015544895,324.2556577603382,1.0010979460645533
