rank,player_name,player_id,season_id,feature,z_std,minutes,player_index,season_index
172,Ander Herrera,3413,188124,per90_sliding_tackles,5.250221150640936,741,82,9
173,Santi Mina,250885,185641,per90_pressing_duels,5.235104389419314,1944,845,5
174,V. Muriqi,251447,187526,per90_aerial_duels,5.233472078721869,1585,847,8
175,R.García Escudero,3503,186267,per90_loose_ball_duels,5.231878586747892,1859,120,7
176,Hugo Sotelo,746346,191659,rate_successful_dribbles,-5.2234276526763415,848,1479,12
177,L. Suárez,7972,9630,per90_assists,5.222817843686373,3269,431,2
178,José Luis Morales,225089,8504,per90_touch_in_box,-5.220538264694859,1892,800,1
179,Xabier Etxeita,4113,10837,rate_offensive_duels_won,-5.216517013423914,754,266,3
180,Y. En-Nesyri,447821,186267,per90_xg_shot,5.207382432729779,2463,1166,7
181,Joselu,3327,185828,per90_aerial_duels,5.204214535786602,2992,43,6
182,Íñigo Martínez,3671,189974,per90_lateral_passes,5.19969522004978,2573,173,11
183,D. Cheryshev,4513,185641,per90_xg_assist,5.18960538963033,1810,320,5
184,A. Pantić,127591,9630,rate_offensive_duels_won,-5.1890243621255765,1749,714,2
185,Marcos Llorente,279538,10837,per90_dribbles_against,5.176277608787058,2960,909,3
186,Rubén Peña,225948,185641,per90_key_passes,5.169138877382535,2837,803,5
187,Kike García,3874,185828,per90_losses,5.158715091137501,1890,224,6
188,Pape Diop,3704,185641,per90_opponent_half_recoveries,5.140795766625526,2482,187,5
189,Íñigo Martínez,3671,189974,per90_forward_passes,5.125749012495268,2573,173,11
190,C. Stuani,3714,181144,per90_aerial_duels,5.124551551757337,2801,190,4
191,A. Rüdiger,14748,189012,rate_successful_dribbles,-5.1133140008662,3011,450,10
192,Koke,3443,9630,per90_xg_assist,5.1128392802930644,3083,99,2
193,Sergio Álvarez,3975,9630,per90_dribbles_against,5.108133198298455,2277,242,2
194,J. Calleri,228902,185641,per90_pressing_duels,5.107785634209909,3028,808,5
195,L. Suárez,7972,9630,per90_goals,5.099181571543774,3269,431,2
196,Roque Mesa,4365,10837,per90_passes,5.090021486736082,3166,303,3
197,Marcos Llorente,279538,10837,per90_crosses,-5.089348448997794,2960,909,3
198,Iker Muniain,3425,187526,per90_shot_assists,5.08854016009346,2975,90,8
199,Miguel Torres,4003,181144,rate_offensive_duels_won,-5.086573559519852,704,249,4
200,J. Bellingham,617894,189012,per90_goals,5.0834499166298714,2544,1394,10
