feature,p50_abs,p90_abs,p95_abs,p99_abs,max_abs,frac_gt_tau99,skewness,recommended_transform,icc_player,icc_season,n_distinct_seasons,tau_99_val,verdict
per90_aerial_duels,0.4138510316369076,1.3200306057216775,1.919017103502032,4.152931288095762,16.59249525411195,0.0198430004361099,1.9451529938625691,sqrt,0.6581380535775,0.015376079376,9,3.1291183962385416,contamination-driven
per90_accelerations,0.44999681997581287,1.4200800285607036,1.9777275824921696,3.6911630577871697,8.519228888504081,0.016354121238552115,1.71294788261713,sqrt,0.026345904576775,0.00386628425492687,7,3.1291183962385416,skew-residual
per90_xg_shot,0.43571793801725744,1.4571565284440084,2.0318531583819364,3.683958020589525,6.910551386326279,0.01744439598778892,1.8697431121864363,sqrt,0.8093402956975,0.00154038747260292,8,3.1291183962385416,contamination-driven
per90_touch_in_box,0.4138547928479714,1.4446603941240583,2.03509870910458,3.5811493192796298,6.3707805457498266,0.016136066288704752,1.22884502008856,sqrt,0.754005465255,0.043902848386975,4,3.1291183962385416,contamination-driven
rate_successful_progressive_passes,0.5003346810480854,1.4546142108545994,1.9811392281456135,3.5011160379336457,9.049037830636859,0.0141735717400785,-1.018050902473135,none,0.75263654082,0.01140201460645,7,3.1291183962385416,contamination-driven
rate_offensive_duels_won,0.4869914726235751,1.4274723420775408,1.9138565775717955,3.480256256941865,7.779658369493355,0.013737461840383776,0.7530749149013002,none,0.6093377836475,0.11267841295125,11,3.1291183962385416,contamination-driven
per90_offensive_duels,0.41421954970534625,1.3856978865710308,1.8907580584328276,3.424810048902285,7.7717707192049525,0.0141735717400785,0.8758238921247132,none,0.8397913331975,0.028625279452325,4,3.1291183962385416,contamination-driven
per90_sliding_tackles,0.44628780666139833,1.3769057720106856,1.852951436807179,3.3588389479523655,9.874496584440056,0.013083296990841693,1.840125282112188,sqrt,0.810303223145,0.06235049734575,8,3.1291183962385416,contamination-driven
per90_pressing_duels,0.5096690669925452,1.3425218724790509,1.7553848941080405,3.3540963341303867,7.396123131484047,0.011993022241604884,1.4729726046083258,sqrt,0.7860174982225,0.077482891283,2,3.1291183962385416,contamination-driven
per90_progressive_run,0.43764125285434263,1.3954551341016803,1.8544173240890305,3.2839624608310096,11.656988996185653,0.01264718709114697,1.721921134646274,sqrt,0.465975769415,0.08666407002925,3,3.1291183962385416,contamination-driven
