query_player_name,neighbor_player_name,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,level_gap_mean,level_gap_q05,level_gap_q95
Cristiano Ronaldo,K. Benzema,0.7621969899888669,0.3741620822530558,1.218386176010587,0.608,1.2391515379337326,0.7069990397571668,1.754517103793255
Cristiano Ronaldo,L. Suárez,0.9516897791835917,0.4529238266226894,1.4823271380474048,0.1995,0.8591295996487056,0.3674732722029255,1.3237419521374627
Cristiano Ronaldo,S. Jovetić,1.057276330232407,0.48571015261449296,1.7009395724770209,0.15525,2.0898939043619746,1.392632071360761,2.8055565687888495
Cristiano Ronaldo,K. Mbappé,1.312490262773646,0.7963402395097767,1.8554187148142502,0.0195,1.3415574283727028,0.5752665598461902,2.1243954664922073
Cristiano Ronaldo,Rubén Castro,1.4476135993868258,1.0242018591521733,1.8977312150333399,0.00275,2.0652577966291426,1.4286198750390933,2.671367948600699
Cristiano Ronaldo,M. Depay,1.5431009325692162,0.9287306159553367,2.162433459320415,0.004,1.9860656148831082,1.337693331318369,2.6130565962556784
Cristiano Ronaldo,L. Vietto,1.5773392260875587,1.0254315613429545,2.135951767044907,5e-4,3.001323009175363,2.351822289508295,3.618545320692135
Cristiano Ronaldo,Ansu Fati,1.643144908933059,1.066488622833836,2.2236541651306934,5e-4,2.318193316906793,1.718850990439269,2.9053414050859274
Cristiano Ronaldo,I. Uche,1.6635937981007198,1.1358825720126318,2.2341541210883475,0.00125,2.6175386248771972,1.915802307574729,3.2906508818307048
Cristiano Ronaldo,L. Jović,1.6825948063178306,1.2275084016118345,2.1725429757034247,0.002,2.145998375420513,1.4178652296506484,2.879075674710253
Gerard Piqué,S. Umtiti,0.37584382730858884,0.12585811521858775,0.7219764917747044,0.40825,0.6043039602302548,0.32394703390682966,0.8879353433984947
Gerard Piqué,Sergio Ramos,0.41509324883675536,0.14826543088329133,0.8182589560898809,0.312,0.8027244946824985,0.4488091692982942,1.1624694606336352
Gerard Piqué,Javi García,0.4851706139589266,0.20455547065305904,0.8170576049610395,0.15725,0.4933822361633657,0.17405874182431877,0.8390056686059756
Gerard Piqué,A. Christensen,0.6061045758701336,0.3321616914255043,0.9223864741343453,0.0485,0.38517938259413115,0.11393871344073465,0.6902838976705832
Gerard Piqué,J. Mathieu,0.6818793047977623,0.3144036448126731,1.1371478365328382,0.03325,0.4326395232980234,0.1449034651695679,0.7438305383309322
Gerard Piqué,R. Araújo,0.686022317427969,0.46390663278219957,0.9493509692769365,0.00375,0.40155664884840325,0.11389712465379116,0.7446179877666562
Gerard Piqué,A. Rüdiger,0.6975005755658229,0.45195893214156,1.022988760157358,0.002,0.4127604938975261,0.13722978990056456,0.7212329351727801
Gerard Piqué,Diego Carlos,0.7241790862296879,0.43685013196835054,1.071925798741818,0.00725,0.3039656116447868,0.07971815545398506,0.5879462935038937
Gerard Piqué,T. Vermaelen,0.7765370532984408,0.5258361373954292,1.0590861205075417,0.0025,0.41286175642519635,0.13217500510193403,0.7273919368527705
Gerard Piqué,A. Mandi,0.8226475964625357,0.5522340537615756,1.170173076705135,2.5e-4,0.3070231521639412,0.09714206589377118,0.5560810185989525
K. Benzema,S. Jovetić,0.6405111487570151,0.2300627394864084,1.1716950304715932,0.3915,0.9712012763579375,0.41440632621721263,1.5680063218349696
