PC,prop_var,cum_var
1,0.3307338813268822,0.3307338813268822
2,0.15218261506248415,0.48291649638936635
3,0.07219694618245501,0.5551134425718214
4,0.06026627063440145,0.6153797132062229
5,0.0470087715205187,0.6623884847267416
6,0.036421068914478986,0.6988095536412205
7,0.03289984550646516,0.7317093991476857
8,0.021608201609368303,0.753317600757054
9,0.01963825835739451,0.7729558591144485
10,0.018401755255897278,0.7913576143703458
11,0.016895638152819192,0.8082532525231649
12,0.015951221304134625,0.8242044738272996
13,0.01440549714340169,0.8386099709707012
14,0.01300158164094139,0.8516115526116426
15,0.012614898838288329,0.8642264514499309
16,0.01042168929543667,0.8746481407453676
17,0.010178015482239467,0.8848261562276071
18,0.009900251204577593,0.8947264074321847
19,0.0090988378178095,0.9038252452499942
20,0.00859931654727623,0.9124245617972704
21,0.00820867737848528,0.9206332391757557
22,0.007065059180690539,0.9276982983564462
23,0.006830887042621896,0.9345291853990682
24,0.006577144417184311,0.9411063298162524
25,0.0060638733505503145,0.9471702031668028
26,0.005743539245865314,0.9529137424126681
27,0.005606430741254154,0.9585201731539222
28,0.005037919250881346,0.9635580924048036
29,0.004747420691803985,0.9683055130966076
30,0.004327087511152427,0.97263260060776
31,0.003490975306318505,0.9761235759140785
32,0.003266871377585248,0.9793904472916638
33,0.0025552524782973146,0.9819456997699612
34,0.002351348770487552,0.9842970485404487
35,0.002275162831037128,0.9865722113714859
36,0.0019374500236615823,0.9885096613951475
37,0.0017422517197802278,0.9902519131149278
38,0.0016117062644328574,0.9918636193793606
39,0.0013870852200246423,0.9932507045993852
40,0.0013342501487105356,0.9945849547480958
41,0.001256020468437981,0.9958409752165338
42,0.0011227410862317208,0.9969637163027655
43,9.050128942583171e-4,0.9978687291970239
44,7.797362647449441e-4,0.9986484654617688
45,5.922015854152244e-4,0.999240667047184
46,5.529845752202356e-4,0.9997936516224042
47,1.6286615177652056e-4,0.9999565177741807
48,4.3482225819891935e-5,1.0000000000000007
