query_player_name,query_archetype,neighbor_player_name,rank,style_dist,level_gap
A. Griezmann,Attacking midfielders,Iago Aspas,3,0.5647,0.2659473825027599
A. Griezmann,Attacking midfielders,Xabi Prieto,4,0.6222,2.0926787330220478
A. Griezmann,Attacking midfielders,Malcom,5,0.6292,1.1560648573155348
A. Griezmann,Attacking midfielders,João Félix,6,0.6949,0.3383399491155986
A. Griezmann,Attacking midfielders,L. Vietto,7,0.7882,0.6005250099899335
A. Griezmann,Attacking midfielders,Ansu Fati,8,0.8213,0.07252087649183554
A. Griezmann,Attacking midfielders,K. Boateng,9,0.8355,0.47113699407895177
A. Griezmann,Attacking midfielders,Dani Olmo,10,0.8662,0.6611030382024963
C. Stuani,Forwards,Manucho Gonçalves,1,0.5609,1.8212289308877356
C. Stuani,Forwards,E. Boateng,2,0.5729,1.7750806951954434
C. Stuani,Forwards,G. Carrillo,3,0.6882,2.3207606150847515
C. Stuani,Forwards,Samu Omorodion,4,0.7626,1.3608459623045674
C. Stuani,Forwards,A. Budimir,5,0.764,1.0416308495071622
C. Stuani,Forwards,R. Falcao,6,0.7769,1.5359818436464054
C. Stuani,Forwards,Y. En-Nesyri,7,0.8091,1.6167049930666069
C. Stuani,Forwards,L. de Jong,8,0.8126,1.7621655954339974
C. Stuani,Forwards,V. Muriqi,9,0.8239,1.761153776471039
C. Stuani,Forwards,Rafa Mir,10,0.843,1.364533813575542
Iago Aspas,Attacking midfielders,G. Bale,1,0.1517,0.2651904714322643
Iago Aspas,Attacking midfielders,Ansu Fati,2,0.2586,0.21277350296958886
Iago Aspas,Attacking midfielders,João Félix,3,0.3167,0.3298780244972278
Iago Aspas,Attacking midfielders,Malcom,4,0.4822,1.297954270788877
Iago Aspas,Attacking midfielders,C. Vela,5,0.5124,1.1732627782967722
Iago Aspas,Attacking midfielders,A. Griezmann,6,0.5647,0.2659473825027599
Iago Aspas,Attacking midfielders,M. Depay,7,0.565,0.255619017094637
Iago Aspas,Attacking midfielders,L. Vietto,8,0.5754,0.7252272773480762
Iago Aspas,Attacking midfielders,Rodrygo,9,0.6285,1.247231508057893
Iago Aspas,Attacking midfielders,Francisco Trincão,10,0.7077,1.4048858103808528
Saúl Ñíguez,Defensive midfielders,Carlos Dotor,1,0.1029,0.46771600886517994
Saúl Ñíguez,Defensive midfielders,Nacho Monreal,2,0.1461,0.6017365443846676
Saúl Ñíguez,Defensive midfielders,Gerard Gumbau,3,0.1842,0.7319054538177108
Saúl Ñíguez,Defensive midfielders,J. Lerma,4,0.2017,0.7370602860256585
Saúl Ñíguez,Defensive midfielders,Álex Fernández,5,0.2443,0.06331838305366679
Saúl Ñíguez,Defensive midfielders,N. Petrović,6,0.2467,0.4205123928365624
Saúl Ñíguez,Defensive midfielders,Víctor Meseguer,7,0.2729,0.2119813841389582
Saúl Ñíguez,Defensive midfielders,D. Lopy,8,0.2794,0.8128852227708588
Saúl Ñíguez,Defensive midfielders,Monchu,9,0.2984,0.18883327960634866
Saúl Ñíguez,Defensive midfielders,Iker Muñoz,10,0.3194,0.5716350338552507
L. Suárez,Forwards,S. Jovetić,1,0.2538,1.5504506649332022
L. Suárez,Forwards,Rubén Castro,2,0.6889,1.3925830421523009
L. Suárez,Forwards,L. Vietto,3,0.7919,2.310052256008372
L. Suárez,Forwards,W. Ben Yedder,4,0.8225,1.1140643066883344
L. Suárez,Forwards,K. Benzema,5,0.8292,0.4907371061001184
L. Suárez,Forwards,I. Uche,6,0.8622,2.2195815688283655
L. Suárez,Forwards,Chicharito,7,0.8841,1.7138635854429087
L. Suárez,Forwards,G. Rossi,8,0.8943,2.075489228586028
L. Suárez,Forwards,K. Boateng,9,0.9167,2.1711278333168957
L. Suárez,Forwards,L. Rémy,10,0.9865,1.7417980002111435
L. Modrić,Midfielders,Pedri,1,0.2654,0.5303058592455758
L. Modrić,Midfielders,F. de Jong,2,0.4625,0.05007986864948863
L. Modrić,Midfielders,Riqui Puig,3,0.4799,0.8504475638748339
L. Modrić,Midfielders,T. Gayoso Roberto,4,0.5304,0.17128125022276777
L. Modrić,Midfielders,Andrés Iniesta,5,0.6265,0.38344750786376125
L. Modrić,Midfielders,M. Kovačić,6,0.6335,0.27385134154104795
L. Modrić,Midfielders,S. Nasri,7,0.6526,0.8565843241897956
L. Modrić,Midfielders,É. Banega,8,0.7007,0.194927413761467
L. Modrić,Midfielders,Arthur,9,0.7325,0.20462288183006763
L. Modrić,Midfielders,İ. Gündoğan,10,0.8156,1.0437878772509281
Neymar,Attacking midfielders,Jonathan Viera,1,1.2195,1.8491149802412954
Neymar,Attacking midfielders,E. Hazard,2,1.2787,1.815560076836437
Neymar,Attacking midfielders,Pedro,3,1.3028,0.9224880055239656
Neymar,Attacking midfielders,Philippe Coutinho,4,1.3399,1.2952781427244835
Neymar,Attacking midfielders,O. Dembélé,5,1.3767,1.5897595549466148
Neymar,Attacking midfielders,Isco,6,1.3792,1.9690587893683382
Neymar,Attacking midfielders,Lamine Yamal,7,1.4882,1.2621321596933028
Neymar,Attacking midfielders,J. Rodríguez,8,1.5048,1.6065110160979605
Neymar,Attacking midfielders,Gerard Deulofeu,9,1.7313,1.653632403583391
Neymar,Attacking midfielders,S. Nasri,10,1.744,2.319784931394269
J. Giménez,Centre backs,A. Rami,1,0.0752,0.0953575143760995
J. Giménez,Centre backs,S. Papastathopoulos,2,0.0878,0.18091729142587928
J. Giménez,Centre backs,Ó. Duarte,3,0.1292,0.1382096175663922
J. Giménez,Centre backs,Deivid,4,0.1612,0.11996144120462962
J. Giménez,Centre backs,Daniel Carriço,5,0.1744,0.19504694694129973
J. Giménez,Centre backs,Édgar González,6,0.1769,0.19230129462557807
J. Giménez,Centre backs,C. Montes,7,0.19,0.23437275218083117
J. Giménez,Centre backs,Iván Ramis,8,0.2062,0.2462631042579569
J. Giménez,Centre backs,S. Babić,9,0.2066,0.4025324663152939
J. Giménez,Centre backs,M. Diakhaby,10,0.2167,0.33228893089206607
Iñaki Williams,Forwards,Ferrán Jutglà,1,0.1876,0.18354897113022564
Iñaki Williams,Forwards,Sandro Ramírez,2,0.3025,0.2054213952032853
Iñaki Williams,Forwards,C. Hernández,3,0.3074,0.310659523872315
Iñaki Williams,Forwards,Portu,4,0.3361,0.41311734072986717
Iñaki Williams,Forwards,A. Peñaranda,5,0.3369,0.4523940184240123
Iñaki Williams,Forwards,W. Swedberg,6,0.3446,0.21656038030391253
Iñaki Williams,Forwards,S. Becker,7,0.3508,0.10769918417524987
Iñaki Williams,Forwards,Ayoze Pérez,8,0.3558,0.5013744925964262
Iñaki Williams,Forwards,J. Kluivert,9,0.3989,0.23533928400304163
Iñaki Williams,Forwards,Rober Ibáñez,10,0.4106,0.5983769201637894
L. Suárez,Attacking midfielders,D. van de Beek,1,0.2449,0.3365169079458077
L. Suárez,Attacking midfielders,Miguel Baeza,2,0.2678,0.3955183061122519
L. Suárez,Attacking midfielders,A. Sánchez,3,0.297,0.100434291915908
L. Suárez,Attacking midfielders,L. Romero,4,0.2971,0.21640626935732865
L. Suárez,Attacking midfielders,Coro,5,0.3231,0.19585021170889347
L. Suárez,Attacking midfielders,Eraso,6,0.3624,0.4230816542941245
L. Suárez,Attacking midfielders,Carles Aleñà,7,0.3935,0.940843834901552
L. Suárez,Attacking midfielders,Gabriel Pires,8,0.4057,0.41552854403623274
L. Suárez,Attacking midfielders,Manu del Moral,9,0.4361,0.34892622790752503
L. Suárez,Attacking midfielders,Jon Guridi,10,0.4511,0.5979916872986947
L. Suárez,Forwards,Sergi Guardiola,1,0.1287,0.4450889700477851
L. Suárez,Forwards,Iván Romero,2,0.1519,0.33243400881336077
L. Suárez,Forwards,N. Ghilas,3,0.2091,0.24507536691821802
L. Suárez,Forwards,Fábio Silva,4,0.2735,0.5209515716165961
L. Suárez,Forwards,Matheus Cunha,5,0.3061,0.5310200159038165
L. Suárez,Forwards,M. Livaja,6,0.3395,0.48870968628644473
L. Suárez,Forwards,F. Smolov,7,0.3546,0.2737081677433927
L. Suárez,Forwards,Isaac Romero,8,0.3648,0.1465314778450392
L. Suárez,Forwards,F. Viñas,9,0.365,0.2740430772104827
L. Suárez,Forwards,A. Peñaranda,10,0.3812,0.7490822572125013
