player_name,season_id,minutes,Dim1,Dim2,extreme
F. Orellana,185828,2546,0.966150817430055,-0.16876952424812913,High Dim1
Mikel Oyarzabal,181144,2875,0.9660542983496624,-0.009201530266325676,High Dim1
Iñaki Williams,181144,2983,0.9516265243438586,0.1515799583091238,High Dim1
Mikel Oyarzabal,185828,3258,0.9470861617003041,-0.035358816166948887,High Dim1
I. Cavaleiro,8504,1384,0.9469757884854726,-0.16928784808775357,High Dim1
G. Cabral,9630,2799,-0.8434645945172605,-0.001394767122844929,Low Dim1
Carlos Domínguez,189012,1750,-0.83442037317862106,0.15027716125789914,Low Dim1
David López,181144,3485,-0.8316676555980678,0.021786601865225217,Low Dim1
David Costas,185641,1260,-0.8304107756138474,0.1493412478625012,Low Dim1
S. Savić,188124,2102,-0.8297925624770777,0.17432894352202735,Low Dim1
A. Véliz,189974,1242,0.11186931126434066,0.925662520688228,High Dim2
S. Rondón,191659,933,0.2778218245187624,0.8887356125860422,High Dim2
Hugo Duro,189974,2377,0.35287651569181294,0.8697389440914771,High Dim2
Hugo Duro,191659,991,0.27576903707175776,0.8602971378059328,High Dim2
Y. En-Nesyri,187526,1388,0.3636416423429939,0.8573168420629059,High Dim2
Dani Carvajal,185828,2924,-0.014688633462876147,-0.8502937066023242,Low Dim2
Filipe Luís,10837,3122,-0.07552937621765256,-0.832470550247598,Low Dim2
Dani Carvajal,185641,2214,0.03709598258395046,-0.78853886062006,Low Dim2
M. Acuña,187526,2444,0.08590089041998361,-0.7875927319229509,Low Dim2
Sergi Roberto,181144,2321,0.09435606230559766,-0.7830912712990314,Low Dim2
