rank,player_name,player_id,season_id,feature,z_std,eps_raw,player_index,season_index
95,Juan Berrocal,471999,189974,rate_offensive_duels_won,-6.22863416951482,-4.288757642609859,1189,11
96,K. Gameiro,25445,8504,per90_xg_shot,6.22721055954233,2.4497502251414005,517,1
97,G. Carrillo,86239,185828,per90_aerial_duels,6.227069743017229,2.225912879025721,642,6
98,A. Sørloth,55224,189974,per90_xg_shot,6.226810910265629,2.449593005324242,595,11
99,Luisinho,70451,8504,per90_sliding_tackles,6.223559911890529,3.3270182051909902,627,1
100,Adrián Pica,712305,189974,rate_offensive_duels_won,-6.206079142100599,-4.273227264108026,1462,11
101,P. Etebo,424624,185828,rate_successful_passes,-6.183287720855681,-2.8279321069464913,1147,6
102,F. Valverde,364005,187526,per90_accelerations,6.176004980708782,3.0679295936800464,1053,8
103,Álex Alegría,6914,181144,per90_loose_ball_duels,6.157082522537017,3.0864748729430156,409,4
104,Chicharito,7941,185828,per90_pressing_duels,6.138819283554585,2.9101046665399046,430,6
105,Borja Iglesias,275338,189012,per90_xg_shot,-6.135180032567675,-2.4135459243520896,890,10
106,Jesé Rodríguez,3326,9630,per90_assists,6.117430610364858,4.835303141115724,42,2
107,Ansotegi,3665,9630,rate_offensive_duels_won,6.070431048483952,4.179826081381449,170,2
108,Naldo,41124,181144,rate_offensive_duels_won,-6.065636427676902,-4.176524720911397,585,4
109,Yéremy Pino,561186,189012,per90_fouls,6.054303266032257,3.662326008242629,1330,10
110,Xabier Etxeita,4113,186267,rate_offensive_duels_won,6.05096573203645,4.166423139033569,266,7
111,M. Miazga,263147,187526,rate_offensive_duels_won,6.045180340156955,4.162439578117419,873,8
112,Diego López,634666,188124,per90_accelerations,6.038808745515668,2.9997773834073573,1417,9
113,Denis Suárez,8323,181144,per90_touch_in_box,6.026178193740655,2.0434547058038226,442,4
114,Mikel Arruabarrena,4102,8504,per90_aerial_duels,5.996684122520857,2.1435598075220237,264,1
115,Marc Bartra,3335,9630,per90_dangerous_own_half_losses,5.992575700824836,4.6417014378614665,45,2
116,Jordi Mboula,405977,187526,per90_accelerations,5.985680697319365,2.9733860330400863,1126,8
117,Nolito,70125,8504,per90_offensive_duels,5.961533205547094,1.7390178150991784,616,1
118,Adrián Diéguez,364870,181144,per90_fouls,5.960270437009254,3.6054443390848063,1063,4
119,Jesé Rodríguez,3326,9630,per90_accelerations,5.940863689511748,2.9511231908010247,42,2
120,Aleix Vidal,4256,181144,per90_xg_shot,5.920863801794061,2.3292351033883443,280,4
121,Dídac Vilá,3798,181144,per90_sliding_tackles,5.9154541025201315,3.162309637841627,203,4
122,Dória,40574,9630,rate_offensive_duels_won,5.901412494257847,4.063447498781768,578,2
123,NA,25590,8504,per90_sliding_tackles,5.889645630502107,3.148512830633573,528,1
124,R. Tapia,139075,187526,per90_sliding_tackles,5.881840844928295,3.1443405138150147,747,8
125,Bryan Gil,532831,185828,per90_accelerations,5.871116616765734,2.916476342357989,1271,6
126,Vinícius Júnior,493295,187526,per90_accelerations,5.832354678731116,2.897221355165419,1225,8
127,Candeias,71004,8504,rate_successful_passes,-5.818876274417927,-2.6612682096731612,632,1
128,Oriol Riera,4602,8504,per90_aerial_duels,5.817537933664945,2.079522655946854,327,1
129,Adrián González,3705,10837,per90_xg_shot,5.79510478201827,2.2797621999007274,188,3
130,R. De Paul,213948,9630,per90_offensive_duels,5.789038590000187,1.6887000194747848,786,2
131,D. Ćaleta-Car,230626,191659,rate_offensive_duels_won,5.781229819233053,3.9806951084512194,810,12
132,Nolito,70125,9630,per90_offensive_duels,5.764641956727163,1.68158336367041,616,2
133,S. Prcić,25470,185641,per90_dangerous_opponent_half_recoveries,5.751001191484212,4.716971776594065,520,5
134,F. Andone,6165,8504,per90_aerial_duels,5.738700684472999,2.0513416887238525,388,1
135,Adrián Diéguez,364870,181144,per90_yellow_cards,5.731934500407732,4.5703014040598315,1063,4
136,F. Orellana,3843,10837,per90_offensive_duels,-5.72191144137107,-1.669118595817826,221,3
137,C. Santos,38436,10837,per90_aerial_duels,5.72148808958581,2.045188917320608,575,3
138,R.García Escudero,3503,8504,per90_aerial_duels,5.7160119337152455,2.0432314242487646,120,1
139,T. Kubo,504301,191659,per90_progressive_run,5.707267421777469,2.6404748390283994,1241,12
140,A. Januzaj,261127,185641,per90_offensive_duels,5.707105389055694,1.6647995745425992,869,5
141,G. Carrillo,86239,185641,per90_aerial_duels,5.703183544324211,2.038645820049505,642,5
142,O. Vranješ,101948,9630,per90_sliding_tackles,5.6946253760267656,3.0442580397733137,687,2
143,M. Iturra,3866,181144,per90_sliding_tackles,5.685563758597368,3.0394138402182516,223,4
144,Lamine Yamal,770398,191659,per90_progressive_run,5.659916572700753,2.6185679059282227,1488,12
145,Kike García,3874,191659,per90_xg_shot,5.652975500428419,2.223849325870736,224,12
146,L. Jović,258264,185828,per90_fouls_suffered,-5.616770537542858,-2.904861530083446,864,6
147,Anaitz Arbilla,4805,9630,per90_sliding_tackles,5.616275679310735,3.002373512101715,337,2
148,Enric Gallego,278348,186267,per90_aerial_duels,5.614876507043674,2.0070798059042856,904,7
149,A. Griezmann,3682,186267,per90_touch_in_box,5.582713306399154,1.8930774050067742,182,7
150,A. Sørloth,55224,189974,per90_goals,5.581599001700375,3.192243225096483,595,11
151,Chicharito,7941,8504,per90_xg_assist,5.577997880799058,3.2502240652851055,430,1
152,Toché,92893,8504,per90_smart_passes,-5.562502726537044,-2.331396302922654,673,1
153,Bryan Gil,532831,186267,per90_accelerations,5.5258791418931175,2.7449796759340703,1271,7
154,Kike García,3874,185828,per90_aerial_duels,5.51722261047988,1.9721726866621823,224,6
155,Á. Correa,254408,10837,per90_assists,5.5027822883308675,4.349476467875338,853,3
