season_index,season_pc1,season_pc2,season_pc3,season_id,season_label
1,-0.357723119556315,-0.37668507417014435,0.5922174325639572,8504,2012/13
2,-0.004836921495685312,-0.5545108154549361,0.7071024278155389,9630,2013/14
3,-0.020927447022426562,-0.3420326696863216,0.2502138666015014,10837,2014/15
4,0.02543565539870396,-0.46179706300043294,0.17742160726293668,181144,2015/16
5,-0.12490394872833809,-0.24960943095625687,0.14666948432351368,185641,2016/17
6,-0.176959860238632,0.12674835482490313,0.08474134611771501,185828,2017/18
7,-0.2937602465402842,-0.08016869622367306,-0.12899443629476562,186267,2018/19
8,-0.040212798341295125,0.1526793497150592,-0.05827631334436192,187526,2019/20
9,0.005382324086563097,0.1763590049142625,-0.2566957643115453,188124,2020/21
10,0.02403169287990826,0.3866322382824549,-0.3240042218989486,189012,2021/22
11,0.4091305153741052,0.6294798635360107,-0.4997766751375949,189974,2022/23
12,0.5553441539837791,0.5929049381012782,-0.690618753760655,191659,2023/24
