variable,variance,n_distinct
rate_successful_smart_passes,0.05368683033625483,418
rate_successful_sliding_tackles,0.06474910397874963,209
rate_successful_crosses,0.03209941854174483,692
rate_goal_conversion,0.01104386317186044,397
rate_shots_on_target,0.032611088235476315,489
rate_field_aerial_duels_won,0.019387759819375006,1572
rate_successful_dribbles,0.02071076377837913,1053
rate_successful_back_passes,0.005830674407832677,1428
rate_successful_through_passes,0.04521834564260027,320
rate_offensive_duels_won,0.020223791370629594,2095
rate_dribbles_against_won,0.022427169995395242,953
rate_defensive_duels_won,0.008707418133309965,1955
rate_successful_long_passes,0.017081224054503664,1719
rate_aerial_duels_won,0.03401704570881555,1602
per90_accelerations,0.31233444696841445,3674
per90_aerial_duels,5.9958322732042335,4712
per90_aerial_duels_won,1.5253133614896182,4523
per90_assists,0.007873406726814082,2115
per90_attacking_actions,18.634176082921908,4579
per90_back_passes,8.506599145569185,4509
per90_clearances,1.4498639228434742,4495
per90_corners,0.7441592362273939,1786
per90_counterpressing_recoveries,2.815475460092997,4675
per90_crosses,2.0491997896661975,4058
per90_dangerous_opponent_half_recoveries,0.041596259794195796,3457
per90_dangerous_own_half_losses,0.057263875059079664,3854
per90_defensive_actions,16.10855300197154,4798
per90_defensive_duels,6.357137723076693,4713
per90_defensive_duels_won,0.39599126899640835,4229
per90_direct_free_kicks,0.011552384014741403,1071
per90_direct_free_kicks_on_target,0.0017321530287875268,568
per90_direct_red_cards,3.9650634736019386e-4,376
per90_dribbles,5.180025379542875,4411
per90_dribbles_against,1.677592138486681,4603
per90_dribbles_against_won,0.454956120447706,4300
per90_duels,52.9262622902476,4844
per90_duels_won,7.781025872938338,4731
per90_field_aerial_duels,6.163257591322502,4368
per90_field_aerial_duels_won,1.5879249692560367,4224
per90_forward_passes,28.699123767737667,4832
per90_fouls,0.4194384603749626,4190
per90_fouls_suffered,0.4916969218180405,4393
per90_free_kicks,0.2325558438942522,1900
per90_free_kicks_on_target,0.05278056324302284,1452
per90_goals,0.024187857440940708,2402
per90_head_shots,0.04598983075136616,2603
per90_interceptions,2.9476327765493195,4688
per90_key_passes,0.0685387259112485,3325
per90_lateral_passes,41.16680933066861,4836
per90_linkup_plays,4.754669805429782,2210
per90_long_passes,6.241490649309071,4726
per90_loose_ball_duels,2.110789488293133,4513
per90_loose_ball_duels_won,0.33719091250767297,4242
per90_losses,7.775253570476495,4752
per90_matches_coming_off,0.2651242466492688,3600
per90_matches_in_start,0.014492195645289545,3227
per90_matches_substituted,0.08196985079647742,3655
per90_missed_balls,0.084080277844714807,3785
per90_new_defensive_duels_won,2.4977385087590753,4533
per90_new_duels_won,9.525125288278982,4736
per90_new_offensive_duels_won,3.441566591780708,4548
per90_new_successful_dribbles,1.4544880862125653,4235
per90_offensive_duels,20.509849711003188,4722
per90_offensive_duels_won,5.348497320008068,4602
per90_offsides,0.0886792449784732,2705
per90_opponent_half_recoveries,1.2077664818765952,4269
per90_own_half_losses,0.9749087615603609,4538
per90_passes,178.27930051997294,4905
per90_passes_to_final_third,6.591257202241225,4748
per90_penalties,0.0016397708944445105,567
per90_pressing_duels,5.445897616528706,4202
per90_pressing_duels_won,0,1
per90_progressive_passes,7.501206409383973,4755
per90_progressive_run,0.9296235266746586,4140
per90_received_pass,121.27064778187079,4874
per90_recoveries,10.378825272054303,4785
per90_red_cards,8.455372469312081e-4,745
per90_second_assists,0.003312553975839386,1679
per90_shot_assists,0.2849270336177176,3844
per90_shot_on_target_assists,0.0685387259112485,3325
per90_shots,0.730709086734532,4119
per90_shots_blocked,0.049624750391417574,3168
per90_shots_on_target,0.14818344724474022,3469
per90_sliding_tackles,0.1625810714214362,3675
per90_smart_passes,0.7011147545591393,3658
per90_successful_attacking_actions,3.8248554019095464,4443
per90_successful_back_passes,7.628754443281644,4482
per90_successful_crosses,0.24501458224432796,3494
per90_successful_defensive_actions,10.376408980036885,4789
per90_successful_dribbles,2.563468792775931,4332
per90_successful_forward_passes,20.584574832898745,4829
per90_successful_key_passes,0.06619397295917398,3303
per90_successful_lateral_passes,41.67916392777679,4829
per90_successful_linkup_plays,2.658554834512502,2126
per90_successful_long_passes,2.5580538735086686,4582
per90_successful_passes,163.22311374186555,4882
per90_successful_passes_to_final_third,4.361149971346361,4683
per90_successful_penalties,0.0011379284145437093,475
per90_successful_progressive_passes,5.165679869903035,4736
per90_successful_sliding_tackles,0.045560090765525196,2993
per90_successful_smart_passes,0.19371695223923355,3045
per90_successful_through_passes,0.055191624984167485,3193
per90_successful_vertical_passes,41.67916392777679,4829
per90_third_assists,0.0020341565501040913,1350
per90_through_passes,0.3446600641396746,4086
per90_touch_in_box,1.7418373633960915,4251
per90_vertical_passes,41.16680933066861,4836
per90_xg_assist,0.004821228046240194,4261
per90_xg_save,0.10693404311685885,362
per90_xg_shot,0.018320036257907683,4481
per90_yellow_cards,0.021204378779758497,3414
rate_duels_won,0.01261807564665104,3696
rate_successful_forward_passes,0.008388601184314328,3258
rate_successful_passes,0.0049314939239129985,4411
rate_successful_passes_to_final_third,0.015277137928397012,1990
rate_successful_progressive_passes,0.009331983341382088,2270
rate_successful_vertical_passes,0.010975445489216435,3367
