"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model2",0,0,-220949.938950608,1027.3276105928,44399.8220492684,377.038006206098,441899.877901217,2054.6552211856
"model1",-3723.50563220446,186.878228896842,-224673.444582813,1007.03024064952,49545.6828065263,428.667371095022,449346.889165625,2014.06048129904
