query_player_index,query_player_name,query_archetype,neighbor_index,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,player_name,archetype
63,L. Messi,Attacking midfielders,583,1.101683534479962,0.5979723380156419,1.6380000003763342,0.918,Neymar,Attacking midfielders
63,L. Messi,Attacking midfielders,64,1.6879922905068199,1.2589368826494425,2.1268678756463917,0.049,Pedro,Attacking midfielders
63,L. Messi,Attacking midfielders,611,1.738366392476811,1.3061694310580139,2.1961298636631534,0.013,J. Rodríguez,Attacking midfielders
63,L. Messi,Attacking midfielders,205,1.8178697422099528,1.4920174107082846,2.1589999210503823,0.00725,Philippe Coutinho,Attacking midfielders
63,L. Messi,Attacking midfielders,307,1.8856374763317874,1.4647570111740462,2.334416780483137,0.00375,Jonathan Viera,Attacking midfielders
63,L. Messi,Attacking midfielders,441,1.8961143828637057,1.49765775582101,2.336088764483287,0.006,S. Nasri,Midfielders
63,L. Messi,Attacking midfielders,141,1.9360904419926483,1.5680886917858463,2.330735566593964,7.5e-4,Isco,Attacking midfielders
63,L. Messi,Attacking midfielders,1268,1.989545552554739,1.6678578191312263,2.339212223100518,2.5e-4,Riqui Puig,Midfielders
63,L. Messi,Attacking midfielders,532,2.0803451597235085,1.6716355173664383,2.503152782082328,5e-4,E. Hazard,Attacking midfielders
63,L. Messi,Attacking midfielders,453,2.2133650434640173,1.8378987952499137,2.6038747384627716,7.5e-4,İ. Gündoğan,Midfielders
39,Cristiano Ronaldo,Forwards,38,0.7621969899888669,0.3741620822530558,1.218386176010587,0.608,K. Benzema,Attacking midfielders
39,Cristiano Ronaldo,Forwards,431,0.9516897791835917,0.4529238266226894,1.4823271380474048,0.1995,L. Suárez,Forwards
39,Cristiano Ronaldo,Forwards,499,1.057276330232407,0.48571015261449296,1.7009395724770209,0.15525,S. Jovetić,Attacking midfielders
39,Cristiano Ronaldo,Forwards,1037,1.312490262773646,0.7963402395097767,1.8554187148142502,0.0195,K. Mbappé,Attacking midfielders
39,Cristiano Ronaldo,Forwards,157,1.4476135993868258,1.0242018591521733,1.8977312150333399,0.00275,Rubén Castro,Forwards
39,Cristiano Ronaldo,Forwards,3,1.5431009325692162,0.9287306159553367,2.162433459320415,0.004,M. Depay,Attacking midfielders
39,Cristiano Ronaldo,Forwards,644,1.5773392260875587,1.0254315613429545,2.135951767044907,5e-4,L. Vietto,Attacking midfielders
39,Cristiano Ronaldo,Forwards,1352,1.643144908933059,1.066488622833836,2.2236541651306934,5e-4,Ansu Fati,Attacking midfielders
39,Cristiano Ronaldo,Forwards,367,1.6635937981007198,1.1358825720126318,2.2341541210883475,0.00125,I. Uche,Forwards
39,Cristiano Ronaldo,Forwards,864,1.6825948063178306,1.2275084016118345,2.1725429757034247,0.002,L. Jović,Forwards
583,Neymar,Attacking midfielders,63,1.101683534479962,0.5979723380156419,1.6380000003763342,0.463,L. Messi,Attacking midfielders
583,Neymar,Attacking midfielders,307,1.2573787185058438,0.9626841253650157,1.5825620772913749,0.0695,Jonathan Viera,Attacking midfielders
583,Neymar,Attacking midfielders,611,1.2866694660350622,1.030880103528534,1.5679084674506938,0.047,J. Rodríguez,Attacking midfielders
583,Neymar,Attacking midfielders,937,1.292713680213306,0.8050482064568403,1.780679343267664,0.17625,O. Dembélé,Attacking midfielders
583,Neymar,Attacking midfielders,532,1.3598511430589781,0.9971741130386873,1.7179205054862292,0.0425,E. Hazard,Attacking midfielders
583,Neymar,Attacking midfielders,1488,1.3628547141856449,0.8531548761333497,1.8982988060547439,0.1095,Lamine Yamal,Attacking midfielders
583,Neymar,Attacking midfielders,141,1.3919401625180372,1.1209758148385,1.6863187051355557,0.00625,Isco,Attacking midfielders
583,Neymar,Attacking midfielders,64,1.40357175545864,0.9251903053633986,1.915500054789823,0.06725,Pedro,Attacking midfielders
583,Neymar,Attacking midfielders,205,1.5739343979581373,1.2212245616714896,1.9553425273071692,0.0035,Philippe Coutinho,Attacking midfielders
583,Neymar,Attacking midfielders,55,1.6228213471586088,1.155522799442482,2.099591901681126,0.0115,Gerard Deulofeu,Attacking midfielders
33,Sergio Ramos,Centre backs,51,0.41509324883675536,0.14826543088329133,0.8182589560898809,0.2425,Gerard Piqué,Centre backs
33,Sergio Ramos,Centre backs,512,0.4336341121303125,0.18372490857643664,0.7721513789745933,0.164,S. Umtiti,Centre backs
33,Sergio Ramos,Centre backs,613,0.4612827748550928,0.16292606387376848,0.8786589930974428,0.1665,Javi García,Centre backs
33,Sergio Ramos,Centre backs,14,0.4652730747798488,0.17421465364708458,0.8476417428305429,0.17125,J. Mathieu,Centre backs
33,Sergio Ramos,Centre backs,450,0.5264295253625029,0.29932342237970794,0.7924067172956686,0.0285,A. Rüdiger,Centre backs
33,Sergio Ramos,Centre backs,1182,0.5676602126920729,0.3367311240948129,0.847424830112915,0.01525,R. Araújo,Defensive midfielders
33,Sergio Ramos,Centre backs,884,0.5879201544442936,0.3313037045879812,0.8915439196384151,0.022,Diego Carlos,Centre backs
33,Sergio Ramos,Centre backs,735,0.6324401850578559,0.2744276285049183,1.0834867242232018,0.03525,A. Christensen,Defensive midfielders
33,Sergio Ramos,Centre backs,548,0.6377219551156958,0.4077120128680062,0.923702823009101,0.005,A. Mandi,Centre backs
33,Sergio Ramos,Centre backs,1118,0.701598613146001,0.456062634183794,1.0128094956744196,0.00225,Éder Militão,Centre backs
51,Gerard Piqué,Centre backs,512,0.37584382730858884,0.12585811521858775,0.7219764917747044,0.40825,S. Umtiti,Centre backs
51,Gerard Piqué,Centre backs,33,0.41509324883675536,0.14826543088329133,0.8182589560898809,0.312,Sergio Ramos,Centre backs
51,Gerard Piqué,Centre backs,613,0.4851706139589266,0.20455547065305904,0.8170576049610395,0.15725,Javi García,Centre backs
51,Gerard Piqué,Centre backs,735,0.6061045758701336,0.3321616914255043,0.9223864741343453,0.0485,A. Christensen,Defensive midfielders
51,Gerard Piqué,Centre backs,14,0.6818793047977623,0.3144036448126731,1.1371478365328382,0.03325,J. Mathieu,Centre backs
51,Gerard Piqué,Centre backs,1182,0.686022317427969,0.46390663278219957,0.9493509692769365,0.00375,R. Araújo,Defensive midfielders
51,Gerard Piqué,Centre backs,450,0.6975005755658229,0.45195893214156,1.022988760157358,0.002,A. Rüdiger,Centre backs
51,Gerard Piqué,Centre backs,884,0.7241790862296879,0.43685013196835054,1.071925798741818,0.00725,Diego Carlos,Centre backs
51,Gerard Piqué,Centre backs,425,0.7765370532984408,0.5258361373954292,1.0590861205075417,0.0025,T. Vermaelen,Centre backs
51,Gerard Piqué,Centre backs,548,0.8226475964625357,0.5522340537615756,1.170173076705135,2.5e-4,A. Mandi,Centre backs
431,L. Suárez,Forwards,499,0.5698533164792958,0.23363096080062729,0.9878517797412734,0.39725,S. Jovetić,Attacking midfielders
431,L. Suárez,Forwards,38,0.7257124270998243,0.47246117739171084,1.0328314307838005,0.09675,K. Benzema,Attacking midfielders
431,L. Suárez,Forwards,3,0.754208387553979,0.2806655466470167,1.2951760415746525,0.17725,M. Depay,Attacking midfielders
431,L. Suárez,Forwards,644,0.7621707355647747,0.3695752387316063,1.2475200554938246,0.103,L. Vietto,Attacking midfielders
431,L. Suárez,Forwards,535,0.928742447759926,0.5753145654326962,1.318283502338366,0.0155,W. Ben Yedder,Forwards
431,L. Suárez,Forwards,39,0.9516897791835917,0.4529238266226894,1.4823271380474048,0.08025,Cristiano Ronaldo,Forwards
431,L. Suárez,Forwards,157,0.9764416822487917,0.6511187788907931,1.3161143250800291,0.013,Rubén Castro,Forwards
431,L. Suárez,Forwards,135,1.0272605618648727,0.6415543602224052,1.4364044128732232,0.00675,G. Rossi,Forwards
431,L. Suárez,Forwards,469,1.031570468675322,0.6784930226600109,1.445677191022823,0.002,K. Boateng,Attacking midfielders
431,L. Suárez,Forwards,526,1.03566108616207,0.6165779314362233,1.479367238311033,0.01575,L. Rémy,Forwards
38,K. Benzema,Attacking midfielders,499,0.6405111487570151,0.2300627394864084,1.1716950304715932,0.3915,S. Jovetić,Attacking midfielders
38,K. Benzema,Attacking midfielders,431,0.7257124270998243,0.47246117739171084,1.0328314307838005,0.11325,L. Suárez,Forwards
38,K. Benzema,Attacking midfielders,39,0.7621969899888669,0.3741620822530558,1.218386176010587,0.25025,Cristiano Ronaldo,Forwards
38,K. Benzema,Attacking midfielders,1037,0.830033984300103,0.4749685961950412,1.2301710057789774,0.09725,K. Mbappé,Attacking midfielders
38,K. Benzema,Attacking midfielders,1352,0.9702632850785844,0.44429501457084647,1.5164959272787644,0.06825,Ansu Fati,Attacking midfielders
38,K. Benzema,Attacking midfielders,3,1.037571079745583,0.4852479100598319,1.597966396978374,0.04825,M. Depay,Attacking midfielders
38,K. Benzema,Attacking midfielders,644,1.073442473510358,0.6234903192385799,1.5497408602834493,0.0135,L. Vietto,Attacking midfielders
