query_player_index,query_player_name,neighbor_index,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,player_id,player_name
63,L. Messi,583,1.101683534479962,0.5979723380156419,1.6380000003763342,0.918,40810,Neymar
63,L. Messi,64,1.6879922905068199,1.2589368826494425,2.1268678756463917,0.049,3360,Pedro
63,L. Messi,611,1.738366392476811,1.3061694310580139,2.1961298636631534,0.013,70096,J. Rodríguez
63,L. Messi,205,1.8178697422099528,1.4920174107082846,2.1589999210503823,0.00725,3802,Philippe Coutinho
63,L. Messi,307,1.8856374763317874,1.4647570111740462,2.334416780483137,0.00375,4379,Jonathan Viera
63,L. Messi,441,1.8961143828637057,1.49765775582101,2.336088764483287,0.006,8320,S. Nasri
63,L. Messi,141,1.9360904419926483,1.5680886917858463,2.330735566593964,7.5e-4,3563,Isco
63,L. Messi,1268,1.989545552554739,1.6678578191312263,2.339212223100518,2.5e-4,532467,Riqui Puig
63,L. Messi,532,2.0803451597235085,1.6716355173664383,2.503152782082328,5e-4,25707,E. Hazard
63,L. Messi,453,2.2133650434640173,1.8378987952499137,2.6038747384627716,7.5e-4,14808,İ. Gündoğan
39,Cristiano Ronaldo,38,0.7621969899888669,0.3741620822530558,1.218386176010587,0.608,3321,K. Benzema
39,Cristiano Ronaldo,431,0.9516897791835917,0.4529238266226894,1.4823271380474048,0.1995,7972,L. Suárez
39,Cristiano Ronaldo,499,1.057276330232407,0.48571015261449296,1.7009395724770209,0.15525,20948,S. Jovetić
39,Cristiano Ronaldo,1037,1.312490262773646,0.7963402395097767,1.8554187148142502,0.0195,353833,K. Mbappé
39,Cristiano Ronaldo,157,1.4476135993868258,1.0242018591521733,1.8977312150333399,0.00275,3604,Rubén Castro
39,Cristiano Ronaldo,3,1.5431009325692162,0.9287306159553367,2.162433459320415,0.004,118,M. Depay
39,Cristiano Ronaldo,644,1.5773392260875587,1.0254315613429545,2.135951767044907,5e-4,86307,L. Vietto
39,Cristiano Ronaldo,1352,1.643144908933059,1.066488622833836,2.2236541651306934,5e-4,584522,Ansu Fati
39,Cristiano Ronaldo,367,1.6635937981007198,1.1358825720126318,2.2341541210883475,0.00125,5297,I. Uche
39,Cristiano Ronaldo,864,1.6825948063178306,1.2275084016118345,2.1725429757034247,0.002,258264,L. Jović
583,Neymar,63,1.101683534479962,0.5979723380156419,1.6380000003763342,0.463,3359,L. Messi
583,Neymar,307,1.2573787185058438,0.9626841253650157,1.5825620772913749,0.0695,4379,Jonathan Viera
583,Neymar,611,1.2866694660350622,1.030880103528534,1.5679084674506938,0.047,70096,J. Rodríguez
583,Neymar,937,1.292713680213306,0.8050482064568403,1.780679343267664,0.17625,286390,O. Dembélé
583,Neymar,532,1.3598511430589781,0.9971741130386873,1.7179205054862292,0.0425,25707,E. Hazard
583,Neymar,1488,1.3628547141856449,0.8531548761333497,1.8982988060547439,0.1095,770398,Lamine Yamal
583,Neymar,141,1.3919401625180372,1.1209758148385,1.6863187051355557,0.00625,3563,Isco
583,Neymar,64,1.40357175545864,0.9251903053633986,1.915500054789823,0.06725,3360,Pedro
583,Neymar,205,1.5739343979581373,1.2212245616714896,1.9553425273071692,0.0035,3802,Philippe Coutinho
583,Neymar,55,1.6228213471586088,1.155522799442482,2.099591901681126,0.0115,3348,Gerard Deulofeu
33,Sergio Ramos,51,0.41509324883675536,0.14826543088329133,0.8182589560898809,0.2425,3341,Gerard Piqué
33,Sergio Ramos,512,0.4336341121303125,0.18372490857643664,0.7721513789745933,0.164,25397,S. Umtiti
33,Sergio Ramos,613,0.4612827748550928,0.16292606387376848,0.8786589930974428,0.1665,70120,Javi García
33,Sergio Ramos,14,0.4652730747798488,0.17421465364708458,0.8476417428305429,0.17125,3274,J. Mathieu
33,Sergio Ramos,450,0.5264295253625029,0.29932342237970794,0.7924067172956686,0.0285,14748,A. Rüdiger
33,Sergio Ramos,1182,0.5676602126920729,0.3367311240948129,0.847424830112915,0.01525,470747,R. Araújo
33,Sergio Ramos,884,0.5879201544442936,0.3313037045879812,0.8915439196384151,0.022,270866,Diego Carlos
33,Sergio Ramos,735,0.6324401850578559,0.2744276285049183,1.0834867242232018,0.03525,135103,A. Christensen
33,Sergio Ramos,548,0.6377219551156958,0.4077120128680062,0.923702823009101,0.005,26307,A. Mandi
33,Sergio Ramos,1118,0.701598613146001,0.456062634183794,1.0128094956744196,0.00225,403448,Éder Militão
51,Gerard Piqué,512,0.37584382730858884,0.12585811521858775,0.7219764917747044,0.40825,25397,S. Umtiti
51,Gerard Piqué,33,0.41509324883675536,0.14826543088329133,0.8182589560898809,0.312,3306,Sergio Ramos
51,Gerard Piqué,613,0.4851706139589266,0.20455547065305904,0.8170576049610395,0.15725,70120,Javi García
51,Gerard Piqué,735,0.6061045758701336,0.3321616914255043,0.9223864741343453,0.0485,135103,A. Christensen
51,Gerard Piqué,14,0.6818793047977623,0.3144036448126731,1.1371478365328382,0.03325,3274,J. Mathieu
51,Gerard Piqué,1182,0.686022317427969,0.46390663278219957,0.9493509692769365,0.00375,470747,R. Araújo
51,Gerard Piqué,450,0.6975005755658229,0.45195893214156,1.022988760157358,0.002,14748,A. Rüdiger
51,Gerard Piqué,884,0.7241790862296879,0.43685013196835054,1.071925798741818,0.00725,270866,Diego Carlos
51,Gerard Piqué,425,0.7765370532984408,0.5258361373954292,1.0590861205075417,0.0025,7860,T. Vermaelen
51,Gerard Piqué,548,0.8226475964625357,0.5522340537615756,1.170173076705135,2.5e-4,26307,A. Mandi
