family,n,median_ess_bulk,min_ess_bulk,max_rhat,n_rhat_gt_1.01
LLt,1176,602.7818432959177,153.87918617872455,1.0246763806183778,12
LLtEig,3,445.9458882314448,216.47109414795128,1.0039717816348226,0
Lambda_a,141,342.8278553308694,74.72889155353532,1.031647545761228,36
nu,1,2895.2216466339037,2895.2216466339037,0.999898557616552,0
psi_a,48,1126.9855983016896,545.7549646808931,1.0048839393860662,0
sigma_b,48,1615.304905616962,1127.8960876980411,1.0013188183977644,0
sigma_e,48,3982.612390853031,2547.5986130028105,1.0022270370368718,0
