"player_index","player_id","player_name","archetype","cluster","pc1_score","pc2_score","pc3_score","n_seasons"
1,12,"K. Omeruo","Centre backs",1,5.35660902211849,-2.92623741488839,-0.0893987492542723,2
2,38,"D. Blind","Defensive midfielders",3,5.11892873399131,2.64320861624839,2.31792631009749,3
3,118,"M. Depay","Attacking midfielders",2,-7.34596463326738,0.833197267662236,2.16130522771562,2
4,145,"T. Vilhena","Midfielders",5,-1.26057835004768,0.251473916745352,-1.25814448771379,1
5,151,"J. Guidetti","Forwards",4,-5.32305343210432,-2.82479054593496,1.51722837134409,4
6,253,"Q. Promes","Midfielders",5,-2.49044366726152,3.45177611999968,0.173464352741509,1
7,254,"R. Rosales","Defensive midfielders",3,2.32420726908277,2.0240352074126,-1.90965465471803,6
8,267,"L. de Jong","Forwards",4,-4.8429990328802,-5.40517018470415,1.73999921994417,3
9,312,"N. Gudelj","Centre backs",1,3.82790992979542,-1.01984868550634,1.47129676083257,7
10,1720,"S. Becker","Attacking midfielders",2,-5.6546584849179,-0.0531600367952339,-0.157270821434143,2
11,1751,"O. Tannane","Attacking midfielders",2,-4.26392424757715,2.71729339994024,0.206473984260301,1
12,3269,"Jordi Alba","Midfielders",5,2.08552919996271,5.10074774936009,1.67844699236315,9
13,3270,"Barragán","Defensive midfielders",3,2.61578442795407,0.994499510858967,-0.554345077591385,7
14,3274,"J. Mathieu","Centre backs",1,5.03982251048832,0.270284198932315,2.64827852908823,3
15,3275,"Ricardo Costa","Centre backs",1,4.54495382729665,-3.7473135911911,1.70812507560453,1
16,3276,"A. Rami","Centre backs",1,4.92342134723122,-2.50838911085568,1.16030357530843,2
17,3277,"Víctor Ruíz","Centre backs",1,6.00046766749929,-1.63286730151853,1.40200174740449,8
18,3280,"É. Banega","Midfielders",5,0.560484710899297,6.46486515542622,2.26586782665866,5
19,3281,"Juan Bernat","Midfielders",5,-1.4497887138609,0.052284131783813,-2.17652888008688,1
20,3282,"Sergio Canales","Attacking midfielders",2,-3.04378193176928,4.37938335511502,2.25216654476212,9
21,3284,"S. Feghouli","Attacking midfielders",2,-3.89004423594406,2.02806146686103,0.994605546893552,2
22,3285,"Pablo Hernández","Midfielders",5,-1.27807743391506,4.0682123732551,0.934801092849872,1
