feature,p50_abs,p90_abs,p95_abs,p99_abs,max_abs,frac_gt_tau99
per90_aerial_duels,0.42275709060680633,1.3324802954235615,1.925945810332154,4.312161115850426,10.867426271962538,0.017662450937636284
per90_accelerations,0.4513754922253446,1.431349114316752,1.9773763942628289,3.7224246840045465,8.541338171198568,0.016354121238552115
per90_xg_shot,0.4368141531567956,1.4094931587712343,1.9765806534335568,3.590015000790468,6.68155396839366,0.017880505887483647
rate_offensive_duels_won,0.5038436063017625,1.4524613509496374,1.8683985377562304,3.4790325813070773,6.398316493376119,0.013301351940689054
per90_goals,0.45309870333553415,1.4658692314595028,1.963767020518506,3.4727480146429657,5.959123843676518,0.014827736589620584
per90_sliding_tackles,0.4615031360917206,1.3732404486428733,1.8753576965931205,3.4481198048230812,7.918554522595154,0.0141735717400785
per90_pressing_duels,0.4901333436294814,1.3775682669385891,1.883052516198954,3.3971405830255867,8.03175369925764,0.013301351940689054
per90_touch_in_box,0.4324328249469215,1.448488739871124,2.0007728248276604,3.3709435115215003,7.844155839624329,0.01569995638901003
per90_offensive_duels,0.428012244464989,1.4110986304088478,1.9041245490526064,3.364838958038199,7.745670828946449,0.01439162668992586
per90_progressive_run,0.4536601375196355,1.4037798609960617,1.9232422928354798,3.3287450497963316,9.698952295461138,0.013737461840383776
rate_successful_dribbles,0.49370881018282026,1.523425508226521,1.9451163516807626,3.3192025238838014,9.8753876714509,0.012211077191452245
per90_assists,0.5546705275905894,1.5335499550581804,1.9605707112796391,3.276874397378812,7.422374134486955,0.013737461840383776
per90_xg_assist,0.5164635493098304,1.5259284891029095,1.9840690417724964,3.199905584047286,7.006115160523365,0.01286524204099433
per90_passes_to_final_third,0.495484230417396,1.3877697716601383,1.8524276441330578,3.0265422534000996,6.989767449578712,0.01003052769297863
rate_successful_progressive_passes,0.5296959352643782,1.4364277650177064,1.8542321763993135,2.956419917115427,6.746036512077003,0.009376362843436545
per90_lateral_passes,0.4965247278053415,1.3916740449960563,1.8143524399117652,2.9316527910236188,5.534470364412657,0.008286088094199739
rate_successful_passes,0.46780963847822754,1.3870522685659576,1.7781040211175299,2.9022466626122143,6.8580901923734725,0.006977758395115569
per90_dangerous_own_half_losses,0.5630986351659124,1.4689748813751364,1.8744367706786307,2.893198773918789,6.610002090009745,0.008286088094199739
per90_received_pass,0.5057182161772041,1.3908605797842757,1.7821921743577198,2.891197298551946,5.98400510687424,0.00872219799389446
per90_loose_ball_duels,0.48735585827625655,1.361790733434569,1.744823221487207,2.8160607765874284,8.646309854242705,0.007631923244657654
per90_passes,0.5282347311894561,1.4025505174906467,1.7896775485210399,2.8093895233519017,5.8649139215677515,0.0056694286960314
per90_dribbles_against,0.4890068781069483,1.3504628307961242,1.7708890727481696,2.775716559300192,5.744694690340754,0.007631923244657654
per90_opponent_half_recoveries,0.4985339965508747,1.3290725362791451,1.7146974380486004,2.7455725166024245,5.59106462005724,0.0065416484954208464
per90_losses,0.48929825562478346,1.3639673659053861,1.7342917119579941,2.7455439775365136,6.1824246347677265,0.00719581334496293
per90_forward_passes,0.5392460413392985,1.4650229789135099,1.8386323927375439,2.716999493862667,5.1125346372427485,0.0065416484954208464
per90_key_passes,0.5110318671077791,1.5001487689428217,1.8995726362368044,2.703915858389993,5.50568781832409,0.0056694286960314
rate_aerial_duels_won,0.5124767998547541,1.4249590585752139,1.786736043695425,2.6810901171702044,5.365624755233455,0.005451373746184038
per90_shot_assists,0.5190815497383656,1.495852195932489,1.8784394639623292,2.6738137484057627,4.833772170292658,0.005015263846489315
per90_dangerous_opponent_half_recoveries,0.5573732699154113,1.4350132995231684,1.7953060553686544,2.6718491180150727,5.559703733730693,0.005887483645878762
per90_back_passes,0.5071875376964625,1.3771590279892996,1.7464908517559117,2.6569879195422224,5.771833951902614,0.0056694286960314
per90_fouls,0.5037440472063568,1.3659672127145923,1.696250148530284,2.5922009808017226,4.89741033961438,0.00436109899694723
per90_yellow_cards,0.5467639581663735,1.3930651670315886,1.6849287252513896,2.5778353048689038,4.244722694917197,0.004579153946794592
per90_progressive_passes,0.531284603724244,1.4634815931406902,1.8309861874537596,2.5746205473248938,6.300504449824183,0.005015263846489315
per90_long_passes,0.5151504151954555,1.3756425180596268,1.742489303304761,2.5508001097868247,5.005242980859781,0.003706934147405146
per90_defensive_duels,0.4913639154186231,1.3231513910697383,1.7204515671802785,2.548111717100906,5.058378830849677,0.003706934147405146
per90_smart_passes,0.5203954756465445,1.4124558566790109,1.7704873162057333,2.540136064066669,5.282952503853349,0.0030527692978630614
per90_clearances,0.5179963306638542,1.378056765479776,1.723653301558382,2.53912110155077,4.548035034092707,0.0030527692978630614
per90_crosses,0.48733701705753196,1.310413494665231,1.6814692633486241,2.5218359637532726,5.071682070852173,0.00436109899694723
per90_dribbles,0.4949028852260544,1.365512331912765,1.7094867845991006,2.5172875733774966,4.793756330906458,0.0039249890972525075
per90_through_passes,0.5265691943731018,1.422858856560345,1.7579777969836754,2.5051967391180225,4.118579580136687,0.0028347143480157
rate_defensive_duels_won,0.553736465658499,1.4644500658034332,1.7961916187337512,2.4796199518553728,4.724501450251552,0.0028347143480157
per90_own_half_losses,0.5478009988325339,1.3968272631472944,1.7421668063733615,2.469236892684508,3.9776608198850267,0.0026166593981683385
per90_shots,0.49440334882589054,1.4092578444459782,1.7473079901222108,2.4634896784913085,3.9948689057497178,0.0030527692978630614
per90_recoveries,0.5176260961181206,1.3881297051024468,1.716860758153869,2.4438524006632765,6.8941221168148745,0.0039249890972525075
per90_head_shots,0.5273964901787034,1.3614976786227193,1.6428609116515347,2.345148897312483,3.9691914673460786,8.722197993894462e-4
per90_fouls_suffered,0.4993397368893878,1.3592412626173398,1.6721979198485086,2.3355841817010896,4.029014366635586,0.002180549498473615
per90_interceptions,0.517722807737388,1.3915171435956726,1.702306100795912,2.328789684656461,4.272160661775785,0.0028347143480157
per90_shots_blocked,0.5871057048760588,1.3791795086511514,1.7420394644441797,2.3227411319334994,3.268798734440588,4.361098996947231e-4
