feature,PC,loading,abs_loading
per90_dribbles,PC1,0.31830980094782685,0.31830980094782685
per90_touch_in_box,PC1,0.25053052332066117,0.25053052332066117
per90_shots,PC1,0.24448923314551213,0.24448923314551213
per90_accelerations,PC1,0.22868561395118944,0.22868561395118944
per90_progressive_run,PC1,0.22522210178601773,0.22522210178601773
per90_head_shots,PC2,-0.2980569514382459,0.2980569514382459
per90_progressive_run,PC2,0.2952769508680559,0.2952769508680559
per90_accelerations,PC2,0.27931289320404484,0.27931289320404484
per90_aerial_duels,PC2,-0.2418014838047496,0.2418014838047496
per90_dribbles,PC2,0.21538889325904823,0.21538889325904823
per90_defensive_duels,PC3,-0.3416369307337982,0.3416369307337982
per90_fouls,PC3,-0.34069561635635587,0.34069561635635587
rate_successful_dribbles,PC3,0.3029574826758683,0.3029574826758683
per90_loose_ball_duels,PC3,-0.26814944926711665,0.26814944926711665
per90_dribbles_against,PC3,-0.26306413901219894,0.26306413901219894
rate_successful_dribbles,PC4,0.3075193523011426,0.3075193523011426
per90_accelerations,PC4,-0.29931676484100517,0.29931676484100517
per90_progressive_run,PC4,-0.28632830576314333,0.28632830576314333
per90_passes_to_final_third,PC4,0.22836886557151065,0.22836886557151065
per90_through_passes,PC4,0.2230537599265156,0.2230537599265156
rate_successful_dribbles,PC5,0.7539850188646368,0.7539850188646368
rate_offensive_duels_won,PC5,0.28055312426592816,0.28055312426592816
per90_accelerations,PC5,0.21714897095975144,0.21714897095975144
per90_progressive_run,PC5,0.17744599217795082,0.17744599217795082
per90_dribbles,PC5,0.17148585643744532,0.17148585643744532
