component,observed_variable,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
player,per90_goals,0.2826180299625,0.28232782,0.0125451942454939,0.261774351,0.30394059599999995,0.2785747881351361,0.00404324182736393,1.0073448417890694,1015.639791298494,1626.0593551204213
player,per90_assists,0.7544216806475,0.753923925,0.03133725694439748,0.7039042735000001,0.8061395395,0.7207426461779534,0.033679034469546676,1.0021653151567151,1140.1636512616635,2428.516998537172
player,per90_xg_shot,0.1718874513025,0.17170523,0.00851135879191244,0.15857056249999998,0.186609817,0.16908153466284168,0.002805916639658318,1.0042800168244048,1274.5006695975228,2136.8669064853275
player,per90_xg_assist,0.2924362186275,0.2920614,0.01295621686318124,0.271879427,0.31482949650000003,0.2721289830458493,0.020307235581650707,1.0007769203821617,1220.6165386393525,2440.043264226567
player,per90_shots,0.2303050840025,0.229783205,0.01378216527548568,0.208145056,0.253527318,0.2366957708593324,-0.006390686856832417,1.0010472795986525,1270.448815851706,2245.654234271367
player,per90_head_shots,0.147471594645,0.147242905,0.01023151436226116,0.13116029950000002,0.164372235,0.14856056309448956,-0.0010889684494895524,1.0030928182044372,1528.521181389267,2153.73223234762
player,rate_shots_on_target,0.110503074569,0.110208755,0.00751594277146457,0.09847806195,0.12307386,0.09916312383397889,0.011339950735021115,1.0039956314968594,1176.545716650232,2365.6897220433643
player,rate_goal_conversion,0.13211890026,0.13184582,0.00829195359042158,0.1190804645,0.146405821,0.12587885283289052,0.006240047427109485,1.0008111076992876,1529.3337322945192,2492.901952579701
player,per90_received_pass,0.11453452632875,0.114527245,0.00672119541507332,0.1036137495,0.12559246349999997,0.12465804298096808,-0.010123516652218084,1.001959154884656,1213.4963736639995,2355.0087411306617
player,per90_passes,0.06172912445175,0.0614946685,0.00604652255548376,0.05197950335,0.072133168,0.0572478965559363,0.004481227895813698,1.0010118372962795,1274.748067275058,2486.53595605798
