parameter,n,bias,mae,rmse,median_abs_error,correlation,coverage_90,n_truth_outside_90
Lambda_a,106,0.008477239449524653,0.08229163681623508,0.13126215652888054,0.025877554616014736,0.804155163874941,0.839622641509434,17
Lambda_b,53,-0.0024519573312311626,0.10211867612432685,0.12398701726666515,0.09026124158734067,0.2623025370816784,1,0
