season,feature,b_mean,b_sd,b_q05,b_q95
8504,per90_goals,0.011856273653936832,0.022697626100652485,-0.022573610096113687,0.05286184240636817
8504,per90_assists,0.05162706644650421,0.03450566659017818,-0.0038158270181333186,0.10799662729877076
8504,per90_xg_shot,0.0028782935332954344,0.013839745192667039,-0.018569261884118355,0.026593364015385194
8504,per90_xg_assist,0.05499992641248336,0.028900745021859523,0.006456032308328124,0.1006768533960066
8504,per90_shots,0.12274939402821772,0.023091693040718897,0.08380292197500254,0.16128210330178777
8504,per90_head_shots,0.013207293478079706,0.020962457089551575,-0.013557120196013963,0.05144774922510978
8504,per90_received_pass,-0.3641672405490053,0.023067206659341182,-0.4017582819270761,-0.326283777767515
8504,per90_passes,-0.18027169346023764,0.021139255829554098,-0.21552508220181654,-0.14716978488808322
8504,per90_forward_passes,0.011376872148929695,0.01806846718129241,-0.017686900308224986,0.04152834188171581
8504,per90_back_passes,-0.22663355217896183,0.027925266585620796,-0.2732579232989423,-0.1797803660323263
8504,per90_lateral_passes,-0.2492297629680928,0.023770020538923433,-0.28711955570518843,-0.2111601181514578
8504,per90_long_passes,0.00636871148894051,0.02288315509177488,-0.03109061851383629,0.047132969462984446
8504,per90_smart_passes,1.4066024107280117,0.02467126174144294,1.3628072218984804,1.445971777293275
8504,per90_progressive_passes,0.1376946192475549,0.021070540498787673,0.1039983288843268,0.17194456587620144
8504,per90_passes_to_final_third,0.12594215935917286,0.026302032044058246,0.08274002715148134,0.16878141351256443
8504,per90_key_passes,0.017523368085086047,0.02763710628729608,-0.026311674154976733,0.06565539244522575
8504,per90_through_passes,0.6925442486645801,0.03636228754842092,0.6329115949662613,0.7513511740045293
8504,per90_crosses,0.16921915356807876,0.023039582089487014,0.13034006534912618,0.20755116947126898
8504,per90_shot_assists,0.1288972116674399,0.026056442117272576,0.08761132779083182,0.17063228822795493
8504,rate_successful_passes,-0.24334230156490325,0.026115231865495893,-0.28545626772733773,-0.2001218139413947
8504,rate_successful_progressive_passes,0.40781725572373334,0.03541467652636815,0.35093211365409194,0.46505180205984814
8504,per90_dribbles,0.3820316818006924,0.02098945097614896,0.3491365842163637,0.41527664961740846
8504,per90_progressive_run,-0.09661178731178431,0.025467852019799824,-0.13820009570303451,-0.05513402286871161
8504,per90_accelerations,0.2532156116458822,0.029571214198874412,0.20470078352783017,0.3015510088270052
8504,rate_successful_dribbles,-0.010135797454661527,0.040183371882069226,-0.07803449141989237,0.05589568932778745
8504,per90_touch_in_box,-0.014710793753518853,0.017399164614912272,-0.044927174012822674,0.012910250361327398
8504,per90_losses,0.5177280890654482,0.031370672179832054,0.4668693960034464,0.5669660928707834
8504,per90_own_half_losses,0.2565507635934467,0.03817614153812054,0.1953821372215884,0.3166147032454575
8504,per90_dangerous_own_half_losses,0.04970770308079717,0.03700143373297484,-0.009157519795654202,0.112783450616734
8504,per90_recoveries,0.06873462936718332,0.018464181740558284,0.039843548094373425,0.0984065704051377
8504,per90_opponent_half_recoveries,0.028449648277999645,0.030016290959891966,-0.01881407361635968,0.07894735673108298
8504,per90_dangerous_opponent_half_recoveries,0.061373601352360516,0.03769752839007857,-0.0019426465521913598,0.12337816714640785
8504,per90_interceptions,0.3342079726808748,0.02385324236610677,0.2962707298035951,0.3751009209914601
8504,per90_clearances,0.2800397110704523,0.024882206437027057,0.23689322307640065,0.31965799115414767
8504,per90_shots_blocked,-0.07315128888898328,0.03635996692105898,-0.1358588345452435,-0.015148839910380102
8504,per90_defensive_duels,0.25932920961878564,0.029717671558683836,0.21288805964145346,0.3102937317353922
8504,per90_offensive_duels,0.1955279369911316,0.018321518937248576,0.1661073336740466,0.2260935540444287
8504,per90_aerial_duels,0.49224358003293417,0.024183853156261727,0.45144703112585227,0.5305184743000686
8504,per90_pressing_duels,-0.3379201702253122,0.024641759242075897,-0.3767807338008958,-0.29689405068561225
8504,per90_loose_ball_duels,0.5740663939263844,0.03179223091514179,0.522301041939142,0.6282951075734348
8504,per90_sliding_tackles,0.44367437122262915,0.0346891236541461,0.3868930485036206,0.5010346042572251
8504,per90_dribbles_against,0.39848493940561003,0.028111474186301715,0.35164740434303354,0.44512775458480275
8504,rate_defensive_duels_won,-0.22383219212401886,0.036479797535424185,-0.28265162492923546,-0.16442656557749266
8504,rate_offensive_duels_won,0.031113453432805856,0.03474738441895277,-0.025032637030300422,0.08770320579975037
8504,rate_aerial_duels_won,-0.08807910008727556,0.02959693303125048,-0.1372144059383489,-0.03858021672807227
8504,per90_fouls,0.19930403950895692,0.035688400398087905,0.1424364892949053,0.25824919132781415
8504,per90_fouls_suffered,0.191712620062793,0.029116549763758867,0.14464106956101855,0.23739323120357203
8504,per90_yellow_cards,0.17541202355260865,0.044976798854340916,0.10306089066078276,0.24975068977867487
9630,per90_goals,0.009984404819968831,0.020340601055569365,-0.021558208085743245,0.04410104149178092
9630,per90_assists,0.12604465416465097,0.033531808083848244,0.07108118051855934,0.18248222294837743
9630,per90_xg_shot,0.010764878664393546,0.013962061797773763,-0.009471621414125815,0.0356095051882906
9630,per90_xg_assist,0.10434818146405157,0.025937100537941033,0.06260569185516421,0.14750188518394927
9630,per90_shots,0.08191596362559403,0.02005767200236037,0.04824001009264432,0.1147771060823503
9630,per90_head_shots,-0.002623349883123842,0.017370794754554945,-0.034294343653754715,0.02280348727856442
9630,per90_received_pass,-0.21713627400479238,0.020027892885042763,-0.25130603530292384,-0.18442428208849573
9630,per90_passes,-0.07213341905843529,0.017555661206669085,-0.10161237391309506,-0.04464443920248594
9630,per90_forward_passes,0.07505665388537441,0.0164996975715396,0.0483669849949314,0.10262398194992997
9630,per90_back_passes,-0.046240090085222244,0.022792869946968778,-0.08287104815776769,-0.009732576859771946
9630,per90_lateral_passes,-0.10767032503653735,0.02029671299272944,-0.1417122112008856,-0.07451302139396523
9630,per90_long_passes,0.10258508181247732,0.021895279096588227,0.06741087550425837,0.13953417562247195
9630,per90_smart_passes,0.897687799502792,0.021791811797259864,0.8631687617088345,0.9327357344982117
9630,per90_progressive_passes,0.28551524025644126,0.01836363078284236,0.25357754866423005,0.31441120175272247
9630,per90_passes_to_final_third,0.1826959468549145,0.023508471899259264,0.14540091682887707,0.2210422357822464
9630,per90_key_passes,0.03604025944071993,0.02529433062339042,-0.0051896535194451785,0.07790140681819178
9630,per90_through_passes,0.24687538238268128,0.03204248991656982,0.19345376665199482,0.29743777476439165
9630,per90_crosses,0.11172127108122858,0.019786439168312162,0.07887825477018731,0.14497079659002515
9630,per90_shot_assists,0.13047209737855872,0.022452810098999392,0.09447524643800836,0.16839112602928571
9630,rate_successful_passes,-0.24910135866749544,0.023128749650637156,-0.28659190369724513,-0.21099007650997667
9630,rate_successful_progressive_passes,0.36230212256381766,0.03129541378893544,0.3121336975906029,0.41552021690075436
9630,per90_dribbles,0.4780968706808154,0.018236565028286297,0.44659663886187323,0.5072200339148355
9630,per90_progressive_run,-0.37816855960836665,0.022740830899818255,-0.41594884952096106,-0.33969598940366696
9630,per90_accelerations,0.09250539922887129,0.02463941270600755,0.05398569490687595,0.13330510273737337
9630,rate_successful_dribbles,0.07659009718631479,0.03270931987442055,0.0226931973762824,0.13336390041145627
9630,per90_touch_in_box,0.007772368435640797,0.01451814636331937,-0.015386661678154437,0.03280077487381289
9630,per90_losses,0.5262865562609627,0.027617442502981423,0.479226059833545,0.5692427979511105
9630,per90_own_half_losses,0.25116340203894216,0.03433040316451995,0.19648406245137912,0.3072495341054917
9630,per90_dangerous_own_half_losses,0.016293166290131778,0.03259874219809987,-0.03737820742888306,0.06876021686308437
9630,per90_recoveries,0.1713575017754943,0.01696547805440142,0.14282405275018487,0.19918874704531062
9630,per90_opponent_half_recoveries,0.1104921474895834,0.02881236666729998,0.06318535667017232,0.1582998224339845
9630,per90_dangerous_opponent_half_recoveries,0.04275708304927461,0.03356288621687614,-0.010443902836263959,0.09615719474545065
9630,per90_interceptions,0.39052829749916973,0.021010486788800686,0.3587602962230342,0.42657217076975484
9630,per90_clearances,0.15981950145888338,0.020477424431294265,0.1261269028205909,0.1939835785984143
9630,per90_shots_blocked,-0.0701461901024698,0.03040325256019946,-0.11988162817941513,-0.01920664521930946
9630,per90_defensive_duels,0.6089435550183058,0.026615196825640525,0.5650774456976794,0.6517327275713141
9630,per90_offensive_duels,0.3434459423200673,0.015911727759813563,0.3178632688066735,0.3699167815062768
9630,per90_aerial_duels,0.26797859125768814,0.02010031278601495,0.2335302328555025,0.2994039739865837
9630,per90_pressing_duels,-0.5954636421985123,0.02255139463757724,-0.6305797603130214,-0.5573695630137032
9630,per90_loose_ball_duels,0.38708575823852637,0.0272851505122261,0.34231068822779503,0.43438680181396505
9630,per90_sliding_tackles,0.5059972968848885,0.02963255954647025,0.45571886313068244,0.553339551656423
9630,per90_dribbles_against,0.5954145506093598,0.026828949672967034,0.5506731693345167,0.636542301244777
9630,rate_defensive_duels_won,-0.17844881671479787,0.03184566190471355,-0.22942532158080445,-0.1250211977925537
9630,rate_offensive_duels_won,0.13321022776136243,0.03218723791998221,0.08037956584481189,0.18861741201589663
9630,rate_aerial_duels_won,0.009301308890055976,0.025943193717768036,-0.034217017476473134,0.05027999404134015
9630,per90_fouls,0.16610630345071453,0.03217634168238283,0.11224477105254566,0.21780025317287682
9630,per90_fouls_suffered,0.11863827475118684,0.028114005100788274,0.07246974711439816,0.16314720585430842
9630,per90_yellow_cards,0.2129167725675453,0.03982012337435416,0.14775665023088097,0.28088020156952376
10837,per90_goals,0.06605456690900362,0.0318053421492051,0.008038324875685622,0.11740731016769784
10837,per90_assists,0.13263943391575922,0.031914173787601655,0.07790880701600994,0.1861003779945938
10837,per90_xg_shot,0.012943120492271917,0.014356928612552304,-0.007309714820585254,0.03808582512148159
10837,per90_xg_assist,0.034889571180315194,0.024913984181069396,-0.00557956458957798,0.07510164449173848
10837,per90_shots,0.05973056912697283,0.019340039386972006,0.028655437332482808,0.09146934836243524
10837,per90_head_shots,-4.091640645313995e-4,0.0178470270292657,-0.030646692085029032,0.028249149492232575
10837,per90_received_pass,-0.13114353399785614,0.020497611959669412,-0.1635300583540621,-0.09739701304050487
10837,per90_passes,-0.031064595230906943,0.016949412434749817,-0.05960121428897262,-0.002934783878303388
10837,per90_forward_passes,0.045122639314227934,0.016559341510314917,0.018169337958306345,0.07173547265099348
10837,per90_back_passes,0.031237715435187774,0.02255067645895051,-0.005791604359852561,0.06784759820936855
10837,per90_lateral_passes,-0.06706236583763964,0.01955550146058525,-0.09893595363906951,-0.03462261627007083
10837,per90_long_passes,0.06398061111384419,0.021259082724343608,0.028612590141370506,0.09686664896527568
10837,per90_smart_passes,0.3605891701590612,0.020335472917438462,0.32780298161793253,0.3942491730482723
10837,per90_progressive_passes,0.2500702853361525,0.019530360759253015,0.21714869332941206,0.2801831120715764
10837,per90_passes_to_final_third,0.1609129292043179,0.022981421223093917,0.12588265848439908,0.2013768172374193
10837,per90_key_passes,0.0523805844333949,0.024810759443092068,0.013264326561439648,0.09429268272095401
10837,per90_through_passes,0.09548543274095221,0.029400271386930608,0.0477849251941196,0.14057028817997708
10837,per90_crosses,0.06820497414802981,0.020035657432309128,0.03527248266234905,0.1003040824027277
10837,per90_shot_assists,0.08793076489219548,0.02226329378695955,0.05082125779256297,0.12283516958328113
10837,rate_successful_passes,-0.12346731164972423,0.02288304387238591,-0.159452417786594,-0.08605441481901199
10837,rate_successful_progressive_passes,0.34591383402708153,0.030431044513571752,0.2978681295403331,0.3974827062391169
10837,per90_dribbles,0.2965644138135569,0.01766999061697589,0.2677888090307003,0.32680164489032487
10837,per90_progressive_run,-0.3327370248071554,0.021895398761431917,-0.3672008553762409,-0.29596423907477254
10837,per90_accelerations,-0.003930098542863666,0.02355896286042228,-0.04240693210607718,0.03360401359125464
10837,rate_successful_dribbles,-0.04921255321413134,0.034744262842854916,-0.10753316827629504,0.007125577456411337
10837,per90_touch_in_box,-0.06017921979717424,0.0176053196369646,-0.08898222351609084,-0.03147812319963524
