feature,icc_diag,icc_lr,prop_a_diag,prop_a_lowrank,shift,abs_shift
rate_dribbles_against_won,0.1835240361125,0.15478400741,0.1835240361125,0.15478400741,-0.028740028702500003,0.028740028702500003
per90_passes,0.8288693096975,0.854161799485,0.8288693096975,0.854161799485,0.025292489787500094,0.025292489787500094
rate_defensive_duels_won,0.2448331214275,0.21956395802,0.2448331214275,0.21956395802,-0.02526916340749999,0.02526916340749999
per90_dangerous_opponent_half_recoveries,0.4807277421675,0.4599007598225,0.4807277421675,0.4599007598225,-0.020826982345000022,0.020826982345000022
rate_successful_progressive_passes,0.4843640032125,0.465975769415,0.4843640032125,0.465975769415,-0.018388233797499987,0.018388233797499987
per90_received_pass,0.76707320709,0.785387695715,0.76707320709,0.785387695715,0.01831448862499996,0.01831448862499996
per90_dangerous_own_half_losses,0.4905449849425,0.4767370513475,0.4905449849425,0.4767370513475,-0.013807933594999988,0.013807933594999988
rate_successful_passes,0.758194867265,0.7478408394925,0.758194867265,0.7478408394925,-0.01035402777249994,0.01035402777249994
per90_smart_passes,0.450328206205,0.44033595837,0.450328206205,0.44033595837,-0.009992247835000023,0.009992247835000023
per90_assists,0.39105487644,0.3816502063675,0.39105487644,0.3816502063675,-0.009404670072499954,0.009404670072499954
per90_shots_blocked,0.66739365044,0.6581380535775,0.66739365044,0.6581380535775,-0.009255596862499993,0.009255596862499993
per90_lateral_passes,0.7852819672125,0.7930684253225,0.7852819672125,0.7930684253225,0.007786458110000005,0.007786458110000005
rate_successful_sliding_tackles,0.05682009542525,0.0490659732185,0.05682009542525,0.0490659732185,-0.007754122206750001,0.007754122206750001
per90_shot_assists,0.759901512735,0.75263654082,0.759901512735,0.75263654082,-0.007264971914999974,0.007264971914999974
per90_through_passes,0.5842976266275,0.57776786549,0.5842976266275,0.57776786549,-0.006529761137499923,0.006529761137499923
per90_interceptions,0.774816308205,0.7806371912825,0.774816308205,0.7806371912825,0.00582088307749995,0.00582088307749995
rate_shots_on_target,0.1667503667025,0.1610181042175,0.1667503667025,0.1610181042175,-0.005732262485,0.005732262485
per90_fouls_suffered,0.7844800310875,0.778851362315,0.7844800310875,0.778851362315,-0.005628668772500012,0.005628668772500012
rate_aerial_duels_won,0.7758067753625,0.77050427556,0.7758067753625,0.77050427556,-0.0053024998024999714,0.0053024998024999714
per90_losses,0.75598817629,0.7507918417275,0.75598817629,0.7507918417275,-0.005196334562500016,0.005196334562500016
per90_progressive_run,0.7583019750275,0.754005465255,0.7583019750275,0.754005465255,-0.004296509772499957,0.004296509772499957
per90_forward_passes,0.8462097942175,0.8503167652,0.8462097942175,0.8503167652,0.004106970982500013,0.004106970982500013
rate_successful_crosses,0.02228045941156221,0.026345904576775,0.02228045941156221,0.026345904576775,0.004065445165212789,0.004065445165212789
per90_recoveries,0.8840644934525,0.887367626605,0.8840644934525,0.887367626605,0.0033031331524999707,0.0033031331524999707
per90_progressive_passes,0.768695709335,0.7719214687175,0.768695709335,0.7719214687175,0.0032257593825000264,0.0032257593825000264
per90_dribbles_against,0.6961569346275,0.69932018073,0.6961569346275,0.69932018073,0.0031632461025000724,0.0031632461025000724
rate_goal_conversion,0.17949802681,0.176508680465,0.17949802681,0.176508680465,-0.002989346344999977,0.002989346344999977
per90_passes_to_final_third,0.7786036314225,0.7815386401925,0.7786036314225,0.7815386401925,0.0029350087699999694,0.0029350087699999694
per90_shots,0.85983825385,0.8570035421675,0.85983825385,0.8570035421675,-0.0028347116825000462,0.0028347116825000462
per90_key_passes,0.6453786246575,0.648058729305,0.6453786246575,0.648058729305,0.0026801046475000145,0.0026801046475000145
per90_loose_ball_duels,0.720793821325,0.7182396514175,0.720793821325,0.7182396514175,-0.0025541699075000146,0.0025541699075000146
per90_pressing_duels,0.462965085075,0.4653666637375,0.462965085075,0.4653666637375,0.0024015786625000146,0.0024015786625000146
per90_xg_assist,0.661180713495,0.6589285731725,0.661180713495,0.6589285731725,-0.0022521403224999847,0.0022521403224999847
per90_clearances,0.83753958607,0.8397913331975,0.83753958607,0.8397913331975,0.002251747127499981,0.002251747127499981
per90_goals,0.6514935463125,0.64933393634,0.6514935463125,0.64933393634,-0.0021596099724999762,0.0021596099724999762
per90_back_passes,0.8224309891275,0.8203870508125,0.8224309891275,0.8203870508125,-0.002043938315000049,0.002043938315000049
rate_successful_dribbles,0.230874661595,0.2288792289375,0.230874661595,0.2288792289375,-0.0019954326574999903,0.0019954326574999903
per90_defensive_duels,0.7840257041675,0.7860174982225,0.7840257041675,0.7860174982225,0.0019917940550000512,0.0019917940550000512
rate_offensive_duels_won,0.41133244133,0.4094234239425,0.41133244133,0.4094234239425,-0.001909017387500045,0.001909017387500045
per90_aerial_duels,0.812096097145,0.810303223145,0.812096097145,0.810303223145,-0.0017928739999999443,0.0017928739999999443
per90_crosses,0.846077292715,0.8442934492625,0.846077292715,0.8442934492625,-0.0017838434524999336,0.0017838434524999336
per90_sliding_tackles,0.6076318096425,0.6093377836475,0.6076318096425,0.6093377836475,0.001705974005000055,0.001705974005000055
per90_own_half_losses,0.6717750303825,0.673475739015,0.6717750303825,0.673475739015,0.0017007086325000476,0.0017007086325000476
per90_long_passes,0.8430458612725,0.84156844033,0.8430458612725,0.84156844033,-0.0014774209425000295,0.0014774209425000295
per90_accelerations,0.60162280992,0.6028725191875,0.60162280992,0.6028725191875,0.0012497092675000099,0.0012497092675000099
per90_opponent_half_recoveries,0.7893768012575,0.7903941958925,0.7893768012575,0.7903941958925,0.0010173946350000573,0.0010173946350000573
per90_fouls,0.7291197810575,0.7282816387925,0.7291197810575,0.7282816387925,-8.381422650000081e-4,8.381422650000081e-4
per90_offensive_duels,0.86989232843,0.8706201427075,0.86989232843,0.8706201427075,7.278142775000163e-4,7.278142775000163e-4
per90_dribbles,0.8015555383225,0.802209070335,0.8015555383225,0.802209070335,6.535320124999577e-4,6.535320124999577e-4
per90_xg_shot,0.8099741046025,0.8093402956975,0.8099741046025,0.8093402956975,-6.338089049999773e-4,6.338089049999773e-4
per90_touch_in_box,0.8714730332625,0.87106685668,0.8714730332625,0.87106685668,-4.0617658250008404e-4,4.0617658250008404e-4
per90_head_shots,0.7411228131675,0.74149544797,0.7411228131675,0.74149544797,3.726348025000492e-4,3.726348025000492e-4
per90_yellow_cards,0.4404390940125,0.4406178883525,0.4404390940125,0.4406178883525,1.7879434000001027e-4,1.7879434000001027e-4
