query_player_name,query_archetype,neighbor_player_name,neighbor_archetype,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,level_gap_mean,level_gap_q05,level_gap_q95
A. Griezmann,Attacking midfielders,G. Bale,Attacking midfielders,0.47821970774261546,0.21407066267281719,0.8330603053354788,0.26225,0.478588142239725,0.14643554248457621,0.8640505272146755
A. Griezmann,Attacking midfielders,Fermín López,Attacking midfielders,0.5603339438580043,0.1901914686603936,1.0203443154948346,0.19025,0.4441361398483402,0.12079207083781927,0.8514487232404123
A. Griezmann,Attacking midfielders,Malcom,Attacking midfielders,0.6256351231148894,0.26024440455901293,1.036975507444801,0.1115,1.2471479824438563,0.6820100154787851,1.8091585960524679
A. Griezmann,Attacking midfielders,Iago Aspas,Attacking midfielders,0.6647944149154155,0.3952687416808742,0.9876710277613651,0.019,0.3352985459800877,0.0952060314861069,0.5991890242952183
A. Griezmann,Attacking midfielders,Francisco Trincão,Attacking midfielders,0.7217925295617339,0.2524809190407097,1.2546933949306114,0.07825,1.2394614458008661,0.706590721217255,1.762029384875743
A. Griezmann,Attacking midfielders,C. Vela,Attacking midfielders,0.7380535361400181,0.312015322846712,1.2223859224818248,0.04225,1.0383281820634231,0.6031568667239775,1.4658305101009463
A. Griezmann,Attacking midfielders,João Félix,Attacking midfielders,0.7386853174235919,0.4642129128741473,1.0956641530431603,0.0105,0.3934094188537661,0.11117059699236122,0.7483947950472623
A. Griezmann,Attacking midfielders,L. Vietto,Attacking midfielders,0.7411365755147106,0.523816441458733,0.9834536971255645,0.01075,0.7048325524002098,0.27426072945427526,1.1721708994210038
A. Griezmann,Attacking midfielders,Ansu Fati,Attacking midfielders,0.7495352570404635,0.4781931344990996,1.05396847014504,0.01125,0.3549509568804485,0.09336336311673823,0.7093970445989882
A. Griezmann,Attacking midfielders,Iker Muniain,Attacking midfielders,0.7534808702822052,0.3711436260994433,1.1948302118161953,0.01975,1.6623997029380388,1.3155635078387211,2.014195300884807
Cristiano Ronaldo,Forwards,K. Benzema,Attacking midfielders,0.7621969899888669,0.3741620822530558,1.218386176010587,0.608,1.2391515379337326,0.7069990397571668,1.754517103793255
Cristiano Ronaldo,Forwards,L. Suárez,Forwards,0.9516897791835917,0.4529238266226894,1.4823271380474048,0.1995,0.8591295996487056,0.3674732722029255,1.3237419521374627
Cristiano Ronaldo,Forwards,S. Jovetić,Attacking midfielders,1.057276330232407,0.48571015261449296,1.7009395724770209,0.15525,2.0898939043619746,1.392632071360761,2.8055565687888495
Cristiano Ronaldo,Forwards,K. Mbappé,Attacking midfielders,1.312490262773646,0.7963402395097767,1.8554187148142502,0.0195,1.3415574283727028,0.5752665598461902,2.1243954664922073
Cristiano Ronaldo,Forwards,Rubén Castro,Forwards,1.4476135993868258,1.0242018591521733,1.8977312150333399,0.00275,2.0652577966291426,1.4286198750390933,2.671367948600699
Cristiano Ronaldo,Forwards,M. Depay,Attacking midfielders,1.5431009325692162,0.9287306159553367,2.162433459320415,0.004,1.9860656148831082,1.337693331318369,2.6130565962556784
Cristiano Ronaldo,Forwards,L. Vietto,Attacking midfielders,1.5773392260875587,1.0254315613429545,2.135951767044907,5e-4,3.001323009175363,2.351822289508295,3.618545320692135
Cristiano Ronaldo,Forwards,Ansu Fati,Attacking midfielders,1.643144908933059,1.066488622833836,2.2236541651306934,5e-4,2.318193316906793,1.718850990439269,2.9053414050859274
Cristiano Ronaldo,Forwards,I. Uche,Forwards,1.6635937981007198,1.1358825720126318,2.2341541210883475,0.00125,2.6175386248771972,1.915802307574729,3.2906508818307048
Cristiano Ronaldo,Forwards,L. Jović,Forwards,1.6825948063178306,1.2275084016118345,2.1725429757034247,0.002,2.145998375420513,1.4178652296506484,2.879075674710253
Dani Carvajal,Midfielders,Óscar Mingueza,Midfielders,0.38622453597398904,0.1351738917787084,0.7206538535948779,0.30475,0.2901596269694755,0.07122347214247184,0.5793568061166708
Dani Carvajal,Midfielders,Beñat Etxebarria,Midfielders,0.4113572587569934,0.16741410877944843,0.7392285698322365,0.219,0.2495278739531829,0.059932130432362354,0.4997433228110342
Dani Carvajal,Midfielders,E. Culio,Midfielders,0.5547030353444162,0.2535567632457001,0.9478061377646122,0.06325,0.4009970624922033,0.09774756178029034,0.8304122026843412
Dani Carvajal,Midfielders,Héctor Fort,Midfielders,0.5852002030558,0.22256376338491551,1.0135335308401539,0.0815,0.3553830384175077,0.09121531588880419,0.6919578065835387
Dani Carvajal,Midfielders,Ander Herrera,Midfielders,0.5941897772124354,0.2453355600056497,1.0080302685484315,0.055,0.31349874030231645,0.07459185653628271,0.6142268379565922
Dani Carvajal,Midfielders,Javi Lara,Midfielders,0.5955992711918635,0.2564877430407846,1.0282991887103607,0.067,0.3744495765696498,0.09324212638399171,0.7606893548202502
Dani Carvajal,Midfielders,L. Digne,Defensive midfielders,0.6166250213482518,0.32047670461063715,0.9426795905903548,0.0255,0.3962273738767072,0.11373224762648472,0.7387706151268789
Dani Carvajal,Midfielders,José Campaña,Midfielders,0.6422782356839113,0.4158657197682815,0.9117438685695575,0.00175,0.3981928313001802,0.12636354349093118,0.7002915202915961
Dani Carvajal,Midfielders,Danilo,Defensive midfielders,0.6883559017742663,0.37141594624777813,1.040518407489788,0.01075,0.3482223808180468,0.08306835814065236,0.6737393693674075
Dani Carvajal,Midfielders,Óliver Torres,Midfielders,0.7203188937603113,0.5099170134085209,0.9731188649144291,5e-4,0.4879748001696559,0.16386690094148104,0.8404259448337625
Gerard Piqué,Centre backs,S. Umtiti,Centre backs,0.37584382730858884,0.12585811521858775,0.7219764917747044,0.40825,0.6043039602302548,0.32394703390682966,0.8879353433984947
Gerard Piqué,Centre backs,Sergio Ramos,Centre backs,0.41509324883675536,0.14826543088329133,0.8182589560898809,0.312,0.8027244946824985,0.4488091692982942,1.1624694606336352
Gerard Piqué,Centre backs,Javi García,Centre backs,0.4851706139589266,0.20455547065305904,0.8170576049610395,0.15725,0.4933822361633657,0.17405874182431877,0.8390056686059756
Gerard Piqué,Centre backs,A. Christensen,Defensive midfielders,0.6061045758701336,0.3321616914255043,0.9223864741343453,0.0485,0.38517938259413115,0.11393871344073465,0.6902838976705832
Gerard Piqué,Centre backs,J. Mathieu,Centre backs,0.6818793047977623,0.3144036448126731,1.1371478365328382,0.03325,0.4326395232980234,0.1449034651695679,0.7438305383309322
Gerard Piqué,Centre backs,R. Araújo,Defensive midfielders,0.686022317427969,0.46390663278219957,0.9493509692769365,0.00375,0.40155664884840325,0.11389712465379116,0.7446179877666562
Gerard Piqué,Centre backs,A. Rüdiger,Centre backs,0.6975005755658229,0.45195893214156,1.022988760157358,0.002,0.4127604938975261,0.13722978990056456,0.7212329351727801
Gerard Piqué,Centre backs,Diego Carlos,Centre backs,0.7241790862296879,0.43685013196835054,1.071925798741818,0.00725,0.3039656116447868,0.07971815545398506,0.5879462935038937
Gerard Piqué,Centre backs,T. Vermaelen,Centre backs,0.7765370532984408,0.5258361373954292,1.0590861205075417,0.0025,0.41286175642519635,0.13217500510193403,0.7273919368527705
Gerard Piqué,Centre backs,A. Mandi,Centre backs,0.8226475964625357,0.5522340537615756,1.170173076705135,2.5e-4,0.3070231521639412,0.09714206589377118,0.5560810185989525
Iago Aspas,Attacking midfielders,G. Bale,Attacking midfielders,0.4067786161750576,0.16543842258044117,0.7096312275772447,0.208,0.37689852996559625,0.09512388793907148,0.7455625022308822
Iago Aspas,Attacking midfielders,Rodrygo,Attacking midfielders,0.45111836638799696,0.17384052156439528,0.8442862477474672,0.14525,1.345751424897533,0.9618566125736203,1.730018208025794
Iago Aspas,Attacking midfielders,C. Vela,Attacking midfielders,0.5015105620442051,0.19627739317653042,0.906960336496049,0.08875,1.1124911695192077,0.7047871757026914,1.5395632419834158
Iago Aspas,Attacking midfielders,Ansu Fati,Attacking midfielders,0.5167242715122653,0.16447460224662466,0.9468073759225438,0.167,0.40077497035248344,0.10102601578486124,0.7506286027996084
Iago Aspas,Attacking midfielders,Fermín López,Attacking midfielders,0.5727279431692629,0.33810974944774025,0.8720493791237469,0.0105,0.5743183987790176,0.2216422920848766,0.9601787780116007
Iago Aspas,Attacking midfielders,João Félix,Attacking midfielders,0.6118929095010995,0.34130239909199866,0.9053715139233035,0.02,0.35505542235182436,0.0912455726087315,0.6926109226357939
Iago Aspas,Attacking midfielders,Jesé Rodríguez,Attacking midfielders,0.6196863469914726,0.19214429657128512,1.1554745985666117,0.0755,0.9877840341325118,0.6110479888647002,1.3879061897988647
Iago Aspas,Attacking midfielders,J. Álvarez,Attacking midfielders,0.6276130544186701,0.2742742340837494,1.039130687730011,0.036,0.3993993459301569,0.09047964658528451,0.8540439672077322
Iago Aspas,Attacking midfielders,Brahim Diaz,Attacking midfielders,0.6336243537173325,0.32072476856750404,1.041880101976796,0.01525,1.0133694694650721,0.5953751541008246,1.4596563311687072
Iago Aspas,Attacking midfielders,Francisco Trincão,Attacking midfielders,0.6389217720807148,0.3325196198586869,1.0129327487868498,0.01275,1.3877993842333058,0.8546260207714762,1.8905981841009827
Iñaki Williams,Forwards,Ayoze Pérez,Attacking midfielders,0.42812440947120695,0.1853974941434099,0.7569622116008852,0.0585,0.5194407329894083,0.15475290007368384,0.9410435091144395
Iñaki Williams,Forwards,Portu,Forwards,0.44514319918005874,0.14919865550904923,0.8422166790385206,0.105,0.49315215200792506,0.22167562200529015,0.7775216538878038
Iñaki Williams,Forwards,S. Becker,Attacking midfielders,0.45190046475539064,0.1714067107486183,0.8146104704832415,0.0775,0.35301467656301333,0.0938335635979164,0.6954891728889879
Iñaki Williams,Forwards,Sandro Ramírez,Attacking midfielders,0.4799015572188429,0.20070407946064509,0.851674933869729,0.03825,0.3422464569513728,0.08943711046557995,0.645063947326132
Iñaki Williams,Forwards,C. Hernández,Forwards,0.4885889490744931,0.19699528357316964,0.8379663458169484,0.03625,0.4321261562469998,0.14602940697407252,0.7409580846089528
Iñaki Williams,Forwards,Ferrán Jutglà,Forwards,0.493471137429878,0.160127566689853,0.9882734281812267,0.08175,0.4159184142269177,0.10476597451042882,0.8181612496855553
Iñaki Williams,Forwards,W. Swedberg,Forwards,0.4948189619283787,0.18906544939157408,0.8573976541558248,0.045,0.41624488341863075,0.1096750283929525,0.7809697668243043
Iñaki Williams,Forwards,E. Ávila,Forwards,0.5075170908777927,0.2557302612209145,0.8283395185420995,0.015,0.446295450247844,0.1327505821889505,0.8236181690087796
Iñaki Williams,Forwards,Mikel Oyarzabal,Attacking midfielders,0.5185173407180358,0.290572848036616,0.8251143244347532,0.008,0.6022307153737312,0.2932644555179906,0.9207016754689146
Iñaki Williams,Forwards,A. Danjuma,Attacking midfielders,0.540396872935368,0.1868740769224891,0.9979942926186481,0.0615,0.9156228221104554,0.4990106024368523,1.3370212716753251
J. Giménez,Centre backs,M. Diakhaby,Centre backs,0.3362726347947272,0.10937106954678116,0.6768716594568122,0.03775,0.4788404397709831,0.1769236741406776,0.799904802011794
J. Giménez,Centre backs,G. Pezzella,Centre backs,0.34778051483946887,0.11995870658429758,0.6588453717673979,0.03025,0.27700670620914164,0.06903151168965502,0.5486906567564495
J. Giménez,Centre backs,Ó. Duarte,Centre backs,0.3499580116384304,0.11494696245337777,0.6978647389069643,0.037,0.24711165072030522,0.058589284348236806,0.4934608109392264
J. Giménez,Centre backs,S. Savić,Centre backs,0.3514217323791832,0.1320763844446401,0.637119978632078,0.0245,0.32983903607801174,0.12398432114128968,0.5502164090320385
J. Giménez,Centre backs,Daniel Carriço,Centre backs,0.3518120844060782,0.12155954946764291,0.670900385271218,0.03075,0.30827230135800315,0.08674028191654162,0.5589830736668537
J. Giménez,Centre backs,Felipe,Centre backs,0.3746556436127624,0.12932223487577044,0.7072552170002049,0.026,0.3360464952447824,0.08167386437720572,0.6533635686730751
J. Giménez,Centre backs,Iván Ramis,Centre backs,0.37920883543601835,0.12626458506231217,0.71502884153872,0.02325,0.4156707858056089,0.11228202172599475,0.7839339616711836
J. Giménez,Centre backs,Unai Núñez,Centre backs,0.3840908390928378,0.1608828558082542,0.6848759558469292,0.01375,0.2121085409673671,0.05489123195815412,0.4117362211446803
J. Giménez,Centre backs,B. Espinosa,Centre backs,0.38799135612822533,0.13040345855303814,0.7243588196271366,0.024,0.3267532124788427,0.08920984833477563,0.623908763885473
J. Giménez,Centre backs,M. Musacchio,Centre backs,0.3920708454140947,0.13109441105696967,0.7445344887197015,0.02425,0.46327951314119303,0.11696205016012343,0.8733096533767403
K. Benzema,Attacking midfielders,S. Jovetić,Attacking midfielders,0.6405111487570151,0.2300627394864084,1.1716950304715932,0.3915,0.9712012763579375,0.41440632621721263,1.5680063218349696
K. Benzema,Attacking midfielders,L. Suárez,Forwards,0.7257124270998243,0.47246117739171084,1.0328314307838005,0.11325,0.5464371781926591,0.16935536220942343,0.9473291592884949
K. Benzema,Attacking midfielders,Cristiano Ronaldo,Forwards,0.7621969899888669,0.3741620822530558,1.218386176010587,0.25025,1.2391515379337326,0.7069990397571668,1.754517103793255
K. Benzema,Attacking midfielders,K. Mbappé,Attacking midfielders,0.830033984300103,0.4749685961950412,1.2301710057789774,0.09725,0.5533508982614795,0.14320273140603892,1.089495543853558
K. Benzema,Attacking midfielders,Ansu Fati,Attacking midfielders,0.9702632850785844,0.44429501457084647,1.5164959272787644,0.06825,1.1431980856335726,0.6949862429475592,1.6287545907050316
