player_index,player_id,player_name,n_seasons,pc1_score,pc2_score,pc3_score
1,12,K. Omeruo,2,5.356609022118493,-2.9262374148883903,-0.0893987492542723
2,38,D. Blind,3,5.118928733991307,2.643208616248394,2.317926310097486
3,118,M. Depay,2,-7.3459646332673785,0.8331972676622361,2.1613052277156157
4,145,T. Vilhena,1,-1.2605783500476822,0.25147391674535163,-1.258144487713787
5,151,J. Guidetti,4,-5.323053432104323,-2.8247905459349596,1.5172283713440944
6,253,Q. Promes,1,-2.490443667261518,3.4517761199996837,0.17346435274150893
7,254,R. Rosales,6,2.324207269082772,2.0240352074125982,-1.9096546547180269
8,267,L. de Jong,3,-4.842999032880196,-5.405170184704153,1.7399992199441714
9,312,N. Gudelj,7,3.827909929795422,-1.019848685506336,1.4712967608325693
10,1720,S. Becker,2,-5.654658484917904,-0.05316003679523388,-0.15727082143414325
11,1751,O. Tannane,1,-4.263924247577153,2.7172933999402438,0.20647398426030064
12,3269,Jordi Alba,9,2.0855291999627075,5.1007477493600915,1.6784469923631524
13,3270,Barragán,7,2.615784427954074,0.9944995108589667,-0.554345077591385
14,3274,J. Mathieu,3,5.039822510488318,0.2702841989323155,2.6482785290882283
15,3275,Ricardo Costa,1,4.544953827296648,-3.747313591191104,1.708125075604527
16,3276,A. Rami,2,4.92342134723122,-2.508389110855682,1.1603035753084252
17,3277,Víctor Ruíz,8,6.000467667499291,-1.632867301518525,1.4020017474044872
18,3280,É. Banega,5,0.5604847108992974,6.464865155426219,2.2658678266586554
19,3281,Juan Bernat,1,-1.4497887138608982,0.05228413178381299,-2.176528880086878
20,3282,Sergio Canales,9,-3.0437819317692822,4.379383355115023,2.252166544762123
21,3284,S. Feghouli,2,-3.8900442359440617,2.02806146686103,0.9946055468935524
22,3285,Pablo Hernández,1,-1.2780774339150551,4.068212373255098,0.9348010928498725
23,3286,Dani Parejo,11,1.9596847432572742,3.7623459551262397,2.422589981927242
24,3287,Portu,9,-5.226499328720663,-0.8547318522186473,-0.38753545896974034
25,3290,Aritz Aduriz,5,-6.3618748136097185,-4.971922192613404,2.476426887601231
26,3291,Paco Alcácer,7,-5.337380842193979,-3.4077653320365293,2.1810032067184033
27,3293,P. Piatti,5,-3.758900613969514,1.1851065244620833,-1.5693646290303005
28,3294,Roberto Soldado,5,-5.060399651101416,-2.5568417611195584,0.8400006566515632
29,3300,Raúl Albiol,6,5.7417441897288715,-0.9045214763867138,1.6723549884731117
30,3301,Arbeloa,1,2.6259585151342826,2.8325030048242397,1.0967660457084882
31,3304,Nacho Fernández,10,3.5656579874773504,-0.5863934182517319,1.3546225210438319
32,3305,Pepe,3,4.8443382689673005,-0.49388156605702255,2.2075084192958583
