player_name,pc,q05,q50,q95
Sergio Ramos,PC1,5.475242141617892,6.030682793536405,6.580678157671845
Sergio Ramos,PC2,-0.23011441877836392,0.288257557932636,0.7876096061153763
Sergio Ramos,PC3,2.720010244537684,3.2706058481727,3.7959929924167537
Gerard Piqué,PC1,5.9568031256897,6.518231527953286,7.04846920522197
Gerard Piqué,PC2,-0.3794193577975815,0.13214782276053968,0.6582973728374887
Gerard Piqué,PC3,3.1153503162083576,3.6517470752161794,4.183508918220565
Xavi,PC1,0.5288125861689454,1.513489626393766,2.48569234595037
Xavi,PC2,6.495845981881316,7.532904545375781,8.58375897217044
Xavi,PC3,4.27080704133535,5.14349968759284,6.048126898253717
Andrés Iniesta,PC1,0.0800006053837787,0.7055650499185169,1.3382668674703166
Andrés Iniesta,PC2,5.872133880476264,6.459219709450839,7.046311361661996
Andrés Iniesta,PC3,2.799931638786281,3.3685868943181667,3.9515360616341737
L. Messi,PC1,-8.515807783057749,-7.904257621346595,-7.2926884831764465
L. Messi,PC2,6.651545965501946,7.226845824822165,7.792438498081196
L. Messi,PC3,4.293127391279737,4.867166355161098,5.456811018914285
Pedro,PC1,-6.375460364188439,-5.378565058774443,-4.382140018733968
Pedro,PC2,3.035536320028923,4.047424689917062,5.045126151356719
Pedro,PC3,2.836351035299879,3.65408223357245,4.501276132575596
C. Stuani,PC1,-6.274382593547994,-5.683184978042995,-5.097604503309552
C. Stuani,PC2,-7.441960192090088,-6.885704211093133,-6.354643735982636
C. Stuani,PC3,0.8853324713990467,1.4423238754628762,2.0230306773540856
Philippe Coutinho,PC1,-4.495802532059975,-3.864491384625064,-3.2292595925680323
Philippe Coutinho,PC2,3.526520044326066,4.1641858820059525,4.825734548458812
Philippe Coutinho,PC3,3.068219115883024,3.6911578821997564,4.28524558806896
T. Kroos,PC1,0.9847613757024818,1.5389590593014517,2.0949285091288155
T. Kroos,PC2,5.915190254121337,6.451184580949815,6.965396731824724
T. Kroos,PC3,3.2274916310270756,3.737046604018219,4.2368583596735
M. Pjanić,PC1,1.8125644483914531,2.7084643318679307,3.574806225871154
M. Pjanić,PC2,4.967048766695494,5.887278740887437,6.809328395205761
M. Pjanić,PC3,4.5392498958862895,5.417391924812548,6.271788203860028
S. Umtiti,PC1,5.951906791818002,6.510125954436124,7.101523475827888
S. Umtiti,PC2,0.02045526111998303,0.5753417974405652,1.1322025787150092
S. Umtiti,PC3,3.0277182288144537,3.5961715663412415,4.167098813286446
Neymar,PC1,-8.580485509815052,-7.905906127978925,-7.238064847470997
Neymar,PC2,6.207123800006799,6.872621701337488,7.5321908078384565
Neymar,PC3,2.603650982767989,3.2609695521649504,3.913709214630801
A. Budimir,PC1,-5.676917188071596,-5.139950990360582,-4.576727436769136
A. Budimir,PC2,-6.524472878025252,-6.017794204867894,-5.528301441456444
A. Budimir,PC3,-0.19374083050745805,0.324744977618491,0.8768719620766913
Javi García,PC1,4.658030676406002,5.402416684105205,6.144404645186919
Javi García,PC2,-0.5785397249052565,0.19671460809398783,0.9090297005399646
Javi García,PC3,2.9028789336363943,3.5923107519151243,4.277089004922646
O. Vranješ,PC1,3.771516096428217,4.639683965161733,5.526731354466533
O. Vranješ,PC2,-2.7998025047432984,-1.9534227335412873,-1.0815601232186671
O. Vranješ,PC3,-4.722123455730973,-3.8151867772059402,-2.928645899715304
Hélder Costa,PC1,-4.28384866540184,-3.4091767784808438,-2.5608483168560308
Hélder Costa,PC2,0.12110664395339413,0.9669876078066535,1.8409249938790955
Hélder Costa,PC3,-3.9004115994748654,-3.0903041779158817,-2.265908686023326
Iván Alejo,PC1,-4.246169364425878,-3.6447685743189133,-3.0448791963172597
Iván Alejo,PC2,1.009286426457075,1.58307739251689,2.1538995630222932
Iván Alejo,PC3,-4.581633589787922,-4.0336913180967,-3.4644263758310316
Juan Iglesias,PC1,0.7370392529223404,1.317659700651093,1.8700779924894666
Juan Iglesias,PC2,-0.3756644100829584,0.13760795732324332,0.6965286042177614
Juan Iglesias,PC3,-4.906311897951879,-4.361307665889863,-3.828281380410264
Y. En-Nesyri,PC1,-5.731999619984814,-5.179172976857775,-4.633374901200281
Y. En-Nesyri,PC2,-6.310332535303243,-5.808788970006238,-5.299373647653227
Y. En-Nesyri,PC3,-0.18179546348036896,0.35915760415775666,0.8771320654157899
Pedro Porro,PC1,0.03622957153045368,0.747918772930895,1.474653177775688
Pedro Porro,PC2,2.0762264545358025,2.81842156267417,3.5294494342158345
Pedro Porro,PC3,-4.001220885296036,-3.309854225252536,-2.6341692855262644
