model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
lowrank_K3_t,0,0,-176314.23340506112,900.5365990780504,46929.918816701196,404.2824586992557,352628.46681012225,1801.0731981561007
diagonal_K0,-5820.240090407613,343.5072723521166,-182134.47349546902,844.2393618624762,44662.36557324367,399.4373859719794,364268.94699093804,1688.4787237249525
