player_id,pca_score_1_mean,pca_score_1_sd,pca_score_1_q05,pca_score_1_q95,pca_score_2_mean,pca_score_2_sd,pca_score_2_q05,pca_score_2_q95
12,0.2157580497404339,0.21646985850906691,-0.14404469451909196,0.5756707252704991,0.4216514643835949,0.3117830690235411,-0.09894294606909458,0.8986441714866236
33,1.8478112803380629,0.18891467835406273,1.526457879552699,2.1620200971536963,-0.3347084779148148,0.27500971941539337,-0.7895844829756695,0.11738516809610752
38,-1.011623135311207,0.20906804104108498,-1.377074938280014,-0.6719871754724517,0.3482267419499242,0.2828744051775535,-0.11168817017771662,0.8211261794680026
99,-0.37697973006498653,0.22150449067511724,-0.7403805632137489,-0.010107157931841573,-0.9938150565938335,0.3296756835348582,-1.5426254012011487,-0.4730758117075385
118,0.38688639354199955,0.22240938594526616,0.037241490591026896,0.7542692295777497,-0.004176906933655779,0.3114793357548779,-0.5195037848958505,0.49977204984864165
145,-0.6401158697401274,0.280258707419868,-1.0988695924888132,-0.17333509473320438,1.1724386920902734,0.37236588065353676,0.567381192547431,1.7828645744388578
151,-0.1219465729764721,0.18326703421532026,-0.41938416993062244,0.16570290166591092,0.57007832669144,0.26866165692179134,0.11490467683130284,1.01238249656585
253,-0.06277800894836368,0.28159142088155364,-0.5223847616047945,0.37485715256516444,-1.7161643923913867,0.40191358848176606,-2.366750336761651,-1.0708542119399227
254,0.6550160781211856,0.16613313594373685,0.3859045191328073,0.929936410384018,-0.8791110011724412,0.2373701366540538,-1.2793475533284582,-0.47065438321686254
267,-1.7929127287953937,0.1960671085739464,-2.1139074026590654,-1.4642478265489929,-0.47648088182073567,0.32675550649494844,-0.9724555177019655,0.05769183438455059
312,-1.7596587630346372,0.16300395685970198,-2.0184977787245115,-1.4958606686634768,0.956692669480865,0.2594909489361274,0.5210293006164173,1.373116165144136
1720,0.4353512298684072,0.22495208800333572,0.0726673786599987,0.8152787269789763,0.3263418725730237,0.30939099979719703,-0.18697409670693535,0.8472965600775191
1751,-0.8934968474875695,0.2694324814974784,-1.3417975398571178,-0.452015889817491,1.8609496122432436,0.3899852875722429,1.2183788883958462,2.4983733947266606
3266,-1.0963273170212933,0.20916088286646992,-1.4405240965802844,-0.7430924564812043,-1.513522804247237,0.308304483349637,-2.0206177876296683,-1.0242079709595606
3267,0.10874770637101017,0.1734863117964624,-0.16880259354593913,0.39788166737399683,-0.2540646050362155,0.24234014768310802,-0.6472826090759922,0.14745590969686162
3269,-0.956118424772946,0.15963135678230728,-1.2228934281498565,-0.7011519799457516,-0.8640703253849593,0.23252251932559198,-1.2580144228827905,-0.48266551071799724
