observed_variable,posterior_var_player,posterior_var_season,posterior_var_residual,posterior_var_total
per90_goals,0.607273088335,0.00323868169629675,0.3212579056475,0.9317696756787968
per90_assists,0.384658921015,0.0093870423149975,0.5891085282325,0.9831544915624975
per90_xg_shot,0.768674597205,0.00119940015572091,0.1789204904725,0.948794487833221
per90_xg_assist,0.6327473639675,0.00329846887909235,0.3206096196825,0.9566554525290923
per90_shots,0.837228376465,0.007355876459675,0.128994679315,0.973578932239675
per90_head_shots,0.7677846543325,9.515611716681464e-4,0.26693813918,1.035674354684168
rate_shots_on_target,0.168127394015,0.00148436636180992,0.837932464135,1.0075442245118098
rate_goal_conversion,0.18063246389,0.00282143583208037,0.822203473755,1.0056573734770804
per90_received_pass,0.719986597835,0.037381520677225,0.18143463467,0.938802753182225
per90_passes,0.7779078482725,0.009898473688425,0.150576476505,0.938382798465925
per90_forward_passes,0.8270614634675,0.0038853831372675,0.146242234075,0.9771890806797675
per90_back_passes,0.806733737315,0.0082098228141,0.16579930632,0.9807428664491
per90_lateral_passes,0.7330565181325,0.016454355394625,0.1838680175025,0.933378891029625
per90_long_passes,0.86262489377,0.0046413305734025,0.15577286313,1.0230390874734026
per90_smart_passes,0.491935455025,0.42057634054,0.2046915333675,1.1172033289324999
per90_progressive_passes,0.7519002072025,0.0492382448715,0.177467463255,0.9786059153289999
per90_passes_to_final_third,0.7198898835625,0.017354954178575,0.18722800729,0.9244728450310751
per90_key_passes,0.61672934755,0.00356474876877,0.33497582318,0.9552699194987699
per90_through_passes,0.55435061559,0.11542341905025,0.281677010865,0.9514510455052501
per90_crosses,0.8338117878,0.00561790099396,0.145909214785,0.9853389035789599
per90_shot_assists,0.7298576772675,0.00464198541773,0.2257102954625,0.9602099581477299
rate_successful_passes,0.7913178928675,0.0334263332941,0.2189758411925,1.0437200673541
rate_successful_progressive_passes,0.5242373859475,0.0911948709915,0.4681622545375,1.0835945114765
rate_successful_crosses,0.02234036658288775,0.00283908633299141,0.9771450433475,1.002324496263379
per90_dribbles,0.92902730449,0.11673894021725,0.1156768036625,1.16144304836975
per90_progressive_run,0.762442939405,0.042054586529375,0.201201954855,1.0056994807893749
per90_accelerations,0.660462955215,0.180659031222,0.2627336834125,1.1038556698495
rate_successful_dribbles,0.232327431415,0.0086067514541925,0.7647649446875,1.0056991275566924
per90_touch_in_box,0.8324448774225,9.42060815135303e-4,0.12169301904,0.9550799572776352
per90_losses,0.7865488448675,0.07035576690725,0.184638891285,1.04154350305975
per90_own_half_losses,0.696685479385,0.021182412124925,0.3189622192225,1.0368301107324251
per90_dangerous_own_half_losses,0.514924199225,0.0142709545816,0.5199737051425,1.0491688589491
per90_recoveries,0.8740287395675,0.0155785368275,0.098992523897,0.988599800292
per90_opponent_half_recoveries,0.7866178046875,0.00522604696041,0.20444598897,0.9962898406179099
per90_dangerous_opponent_half_recoveries,0.4914051002425,0.0074122678413975,0.5228566863125,1.0216740543963976
per90_interceptions,0.81417230576,0.08058808132725,0.15736487236,1.05212525944725
per90_clearances,0.881751731465,0.0353682824811,0.1358551568625,1.0529751708086
per90_shots_blocked,0.7004737856725,0.0128606818504,0.335866741515,1.0492012090379
per90_defensive_duels,0.84957371541,0.08854302056575,0.1470627028775,1.08517943885325
per90_offensive_duels,0.9771806480425,0.062970601353,0.083949630884,1.1241008802795
per90_aerial_duels,0.88335227336,0.0667909806125,0.1385110209625,1.088654274935
per90_pressing_duels,0.457926008105,0.32277212426475,0.226479849085,1.00717798145475
per90_loose_ball_duels,0.7595839348275,0.119955454263,0.177717506495,1.0572568955855
per90_sliding_tackles,0.65187376048,0.1283404557805,0.2956588560975,1.0758730723580001
per90_dribbles_against,0.7545262866375,0.147817795326,0.1859734837,1.0883175656635
rate_defensive_duels_won,0.2570821956875,0.13578190350975,0.66043783349,1.05330193268725
rate_offensive_duels_won,0.4172835270025,0.016015598042525,0.58070523899,1.0140043640350251
rate_aerial_duels_won,0.8099012670125,0.003869861410065,0.2299081652825,1.043679293705065
rate_dribbles_against_won,0.1865066061775,0.008584815028065,0.8204266745575,1.015518095763065
rate_successful_sliding_tackles,0.057197972694,0.01099896336683,0.9380056299575,1.00620256601833
per90_fouls,0.769235338875,0.026061156750375,0.259587323335,1.0548838189603749
per90_fouls_suffered,0.833421195355,0.017766624263075,0.211053683695,1.062241503313075
per90_yellow_cards,0.4538633128825,0.017412729104525,0.5586935517575,1.029969593744525
