n,bias,mae,rmse,corr,cov90,parameter
53,0.01597378283003806,0.15144742740064368,0.1851086888717202,0.30495145021521203,0.9622641509433962,Lambda_a_factor1
53,9.428452273542813e-4,0.012969617995813316,0.016215292028203737,0.9990544024664985,0.7735849056603774,Lambda_a_factor2
53,0.0067181970122752125,0.009190873152451226,0.012272136521058147,0.9967681547449695,0.8113207547169812,Sigma_a_diag
53,0.02491640397930236,0.029801771629105397,0.047182043430095744,0.8843794432932213,0.8679245283018868,var_b_vs_Sigma_b_diag
