feature,group,p99_abs,tau_99_val,skewness,icc_player,icc_season,recommended_transform,n_distinct_seasons,verdict
per90_aerial_duels,Dueling,4.288805132495564,3.0556094662596567,1.9451529938625691,0.6581380535775,0.015376079376,sqrt,11,contamination-driven
per90_accelerations,Progressive actions,3.6808267195359314,3.0556094662596567,1.71294788261713,0.026345904576775,0.00386628425492687,sqrt,6,skew-residual
per90_xg_shot,Attacking output,3.595397117135337,3.0556094662596567,1.8697431121864363,0.8093402956975,0.00154038747260292,sqrt,6,contamination-driven
rate_offensive_duels_won,Dueling,3.4777565974699884,3.0556094662596567,0.7530749149013002,0.6093377836475,0.11267841295125,none,7,contamination-driven
per90_sliding_tackles,Defending,3.4639707159673554,3.0556094662596567,1.840125282112188,0.810303223145,0.06235049734575,sqrt,9,contamination-driven
per90_progressive_run,Progressive actions,3.391381471826982,3.0556094662596567,1.721921134646274,0.465975769415,0.08666407002925,sqrt,5,contamination-driven
per90_goals,Attacking output,3.389643750038452,3.0556094662596567,2.293489375295159,0.64933393634,0.00605142503328749,log1p,3,contamination-driven
per90_pressing_duels,Dueling,3.3681883053506247,3.0556094662596567,1.4729726046083258,0.7860174982225,0.077482891283,sqrt,3,contamination-driven
per90_touch_in_box,Attacking output,3.367587407669272,3.0556094662596567,1.22884502008856,0.754005465255,0.043902848386975,sqrt,7,contamination-driven
per90_offensive_duels,Dueling,3.3633973389424887,3.0556094662596567,0.8758238921247132,0.8397913331975,0.028625279452325,none,7,contamination-driven
rate_successful_dribbles,Progressive actions,3.3401926230116192,3.0556094662596567,-0.5426430196450888,0.802209070335,0.09474225897425,none,8,contamination-driven
per90_xg_assist,Attacking output,3.242079706996332,3.0556094662596567,1.3593801936391243,0.6589285731725,0.008554317806325,sqrt,6,contamination-driven
per90_assists,Attacking output,3.238909070466583,3.0556094662596567,1.7091669543404868,0.3816502063675,0.014722958842525,sqrt,6,contamination-driven
rate_successful_progressive_passes,Passing quality,3.147019948484154,3.0556094662596567,-1.018050902473135,0.75263654082,0.01140201460645,none,5,contamination-driven
per90_passes,Passing volume,3.1399992229034295,3.0556094662596567,0.5502622487113626,0.176508680465,0.00294843948304499,none,2,mixed
per90_received_pass,Passing volume,3.117937991526126,3.0556094662596567,0.909200771432259,0.1610181042175,0.00208189564138492,none,1,mixed
per90_lateral_passes,Passing volume,3.07637095351367,3.0556094662596567,0.9820692601858554,0.8503167652,0.004307332679915,none,3,contamination-driven
per90_passes_to_final_third,Passing volume,3.0524609237908082,3.0556094662596567,0.8773152324211305,0.44033595837,0.368352308885,none,5,unremarkable_p99
rate_successful_passes,Passing quality,2.956009661951237,3.0556094662596567,-0.5456087312442423,0.8442934492625,0.0077810389354275,none,1,unremarkable_p99
per90_losses,Defending,2.886142985079556,3.0556094662596567,0.01539274650748082,0.6028725191875,0.1536822384545,none,3,unremarkable_p99
per90_dangerous_own_half_losses,Defending,2.8710522507768976,3.0556094662596567,0.8561595111749498,0.87106685668,0.00104985629289682,none,1,unremarkable_p99
per90_loose_ball_duels,Dueling,2.8090509133737154,3.0556094662596567,0.6556265282913809,0.8706201427075,0.051638343788,none,2,unremarkable_p99
per90_dribbles_against,Defending,2.77965470428852,3.0556094662596567,0.326762913237217,0.4653666637375,0.3049849803025,none,3,unremarkable_p99
per90_opponent_half_recoveries,Defending,2.76578002047885,3.0556094662596567,0.3197576854378654,0.673475739015,0.01802978284975,none,3,unremarkable_p99
rate_aerial_duels_won,Dueling,2.7296615732215868,3.0556094662596567,0.5928982540039834,0.69932018073,0.1277122281165,none,1,unremarkable_p99
per90_forward_passes,Passing volume,2.7214816086878484,3.0556094662596567,0.2443144338509335,0.785387695715,0.03514498597065,none,2,unremarkable_p99
per90_shot_assists,Passing volume,2.7145420718125575,3.0556094662596567,1.081264264466122,0.57776786549,0.130844606406,sqrt,1,unremarkable_p99
per90_key_passes,Passing volume,2.702208768399181,3.0556094662596567,1.1747730249082382,0.7719214687175,0.04865863993599999,sqrt,1,unremarkable_p99
per90_dangerous_opponent_half_recoveries,Defending,2.6747051172673393,3.0556094662596567,0.7267699940621233,0.4767370513475,0.01499787352045,none,1,unremarkable_p99
per90_back_passes,Passing volume,2.6644802400477214,3.0556094662596567,0.2993609653957574,0.854161799485,0.009567488789925,none,1,unremarkable_p99
per90_defensive_duels,Dueling,2.6264476497695837,3.0556094662596567,-0.2645869726139634,0.7806371912825,0.0663148090305,none,NA,unremarkable_p99
per90_progressive_passes,Passing volume,2.6123194623936854,3.0556094662596567,0.23289670773686572,0.84156844033,0.004405431260235,none,1,unremarkable_p99
per90_crosses,Passing volume,2.5868028526755253,3.0556094662596567,1.2018043088269952,0.648058729305,0.0049711491278225,sqrt,1,unremarkable_p99
