model,elpd_loo,se_loo,n_draws,n_obs,pk_gt_0p5,pk_gt_0p7,delta_elpd,se_delta
K2_stage18,-177558.68438498746,896.6764107593061,4000,4586,0.9938944614042738,0.9212821631051025,NA,NA
K3_stage28,-176314.23340506112,900.5365990780504,4000,4586,0.9934583515045792,0.9053641517662451,1244.4509799263324,1270.8244378714367
